Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00004,199.267,11.78,128,2024-02-23
CAP_SON_MAI_00004,197.55,11.81,128,2024-01-26
CAP_SON_MAI_00004,199.567,11.9,128,2024-01-23
CAP_SON_MAI_00004,199.017,11.84,128,2024-01-22
CAP_SON_MAI_00004,194.95,11.65,128,2024-01-18
CAP_SON_MAI_00004,197.717,11.81,128,2024-01-09
CAP_SON_MAI_00010,317.083,12.44,128,2024-01-08
CAP_SON_MAI_00004,0.65,0.0,128,2024-01-03
CAP_SON_MAI_00004,0.133,0.0,128,2024-01-03
CAP_SON_MAI_00003,18.467,1.098,128,2023-12-22
CAP_SON_MAI_00010,0.083,0.0,128,2023-12-13
CAP_SON_MAI_00010,113.217,6.94,128,2023-11-28
CAP_SON_MAI_00001,648.183,11.93,128,2023-11-17
CAP_SON_MAI_00004,202.967,12.09,128,2023-11-13
CAP_SON_MAI_00004,0.733,0.02,128,2023-11-13
CAP_SON_MAI_00004,46.683,2.54,128,2023-11-12
CAP_SON_MAI_00004,195.1,11.69,128,2023-11-12
CAP_SON_MAI_00003,584.783,11.916,128,2023-11-10
CAP_SON_MAI_00004,1.0,0.01,128,2023-11-03
CAP_SON_MAI_00004,78.383,4.47,128,2023-10-25
CAP_SON_MAI_00004,192.0,11.5,128,2023-10-25
CAP_SON_MAI_00010,317.567,12.09,128,2023-10-23
CAP_SON_MAI_00010,0.15,0.0,128,2023-10-23
CAP_SON_MAI_00001,454.75,12.03,128,2023-10-13
CAP_SON_MAI_00001,273.917,12.66,128,2023-10-12
CAP_SON_MAI_00003,713.5,11.847,128,2023-10-06
CAP_SON_MAI_00003,552.067,11.862,128,2023-10-03
CAP_SON_MAI_00003,310.233,12.342,128,2023-09-28
CAP_SON_MAI_00004,200.583,12.21,128,2023-09-27
CAP_SON_MAI_00010,726.9,12.21,128,2023-09-13
CAP_SON_MAI_00010,620.5,12.04,128,2023-09-08
CAP_SON_MAI_00003,411.75,9.051,128,2023-08-31
CAP_SON_MAI_00004,199.833,12.07,128,2023-08-30
CAP_SON_MAI_00004,207.283,12.41,128,2023-08-09
CAP_SON_MAI_00004,207.417,12.31,128,2023-08-07
CAP_SON_MAI_00004,195.767,11.85,128,2023-08-04
CAP_SON_MAI_00004,203.333,12.37,128,2023-08-02
CAP_SON_MAI_00003,199.9,12.063,128,2023-07-31
CAP_SON_MAI_00001,272.317,12.34,128,2023-07-25
CAP_SON_MAI_00004,203.333,12.21,128,2023-07-21
CAP_SON_MAI_00004,205.433,12.34,128,2023-07-20
CAP_SON_MAI_00010,210.017,12.81,128,2023-07-14
CAP_SON_MAI_00004,208.117,12.46,128,2023-07-07
CAP_SON_MAI_00001,727.683,11.07,128,2023-07-06
CAP_SON_MAI_00001,0.1,0.0,128,2023-07-06
CAP_SON_MAI_00003,296.3,9.047,128,2023-07-05
CAP_SON_MAI_00003,143.167,8.924,128,2023-07-05
CAP_SON_MAI_00003,392.15,6.717,128,2023-07-04
CAP_SON_MAI_00004,201.817,12.43,128,2023-07-04
CAP_SON_MAI_00003,251.667,12.12,128,2023-06-27
CAP_SON_MAI_00004,200.667,12.06,128,2023-06-20
CAP_SON_MAI_00004,207.483,12.49,128,2023-06-19
CAP_SON_MAI_00010,0.567,0.0,128,2023-06-16
CAP_SON_MAI_00010,0.083,0.0,128,2023-06-16
CAP_SON_MAI_00010,360.883,12.28,128,2023-06-12
CAP_SON_MAI_00010,0.417,0.0,128,2023-06-12
CAP_SON_MAI_00004,2.083,0.08,128,2023-06-09
CAP_SON_MAI_00004,178.233,10.68,128,2023-06-07
CAP_SON_MAI_00004,203.417,12.18,128,2023-06-05
CAP_SON_MAI_00004,57.483,3.24,128,2023-06-02
CAP_SON_MAI_00004,1.733,0.09,128,2023-06-02
