Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00002,39.483,19.95,144,2024-02-29
CAP_SON_MAI_00002,32.583,29.61,144,2024-02-27
CAP_SON_MAI_00004,85.183,14.47,144,2024-02-23
CAP_SON_MAI_00002,51.883,41.44,144,2024-02-21
CAP_SON_MAI_00002,46.283,49.6,144,2024-02-14
CAP_SON_MAI_00002,52.667,46.66,144,2024-02-06
CAP_SON_MAI_00002,24.3,42.15,144,2024-02-04
CAP_SON_MAI_00004,100.717,17.76,144,2024-02-01
CAP_SON_MAI_00002,37.9,24.17,144,2024-01-31
CAP_SON_MAI_00002,39.167,27.4,144,2024-01-29
CAP_SON_MAI_00002,52.433,41.03,144,2024-01-22
CAP_SON_MAI_00002,25.367,32.7,144,2024-01-19
CAP_SON_MAI_00004,283.817,52.6,144,2024-01-16
CAP_SON_MAI_00004,187.4,34.68,144,2024-01-11
CAP_SON_MAI_00002,30.467,42.65,144,2024-01-05
CAP_SON_MAI_00001,328.15,27.58,144,2024-01-02
CAP_SON_MAI_00002,15.333,12.27,144,2023-12-29
CAP_SON_MAI_00003,204.1,24.423,144,2023-12-28
CAP_SON_MAI_00010,0.05,0.0,144,2023-12-28
CAP_SON_MAI_00002,38.5,48.96,144,2023-12-24
CAP_SON_MAI_00003,311.25,34.145,144,2023-12-22
CAP_SON_MAI_00001,231.817,20.17,144,2023-12-20
CAP_SON_MAI_00002,8.15,5.75,144,2023-12-15
CAP_SON_MAI_00002,43.233,31.29,144,2023-12-14
CAP_SON_MAI_00001,209.283,20.16,144,2023-12-12
CAP_SON_MAI_00002,22.4,36.53,144,2023-12-09
CAP_SON_MAI_00002,56.667,49.67,144,2023-12-05
CAP_SON_MAI_00002,46.8,51.07,144,2023-12-04
CAP_SON_MAI_00010,192.033,35.09,144,2023-11-30
CAP_SON_MAI_00010,338.667,21.43,144,2023-11-23
CAP_SON_MAI_00002,62.317,53.16,144,2023-11-21
CAP_SON_MAI_00010,1.55,0.21,144,2023-11-21
CAP_SON_MAI_00002,55.867,52.91,144,2023-11-16
CAP_SON_MAI_00004,112.317,19.23,144,2023-11-14
CAP_SON_MAI_00002,37.983,23.03,144,2023-11-09
CAP_SON_MAI_00003,42.683,5.246,144,2023-11-07
CAP_SON_MAI_00003,134.45,15.909,144,2023-11-07
CAP_SON_MAI_00003,169.383,18.061,144,2023-11-04
CAP_SON_MAI_00002,21.983,34.06,144,2023-11-04
CAP_SON_MAI_00002,23.667,25.04,144,2023-10-31
CAP_SON_MAI_00010,217.883,40.03,144,2023-10-25
CAP_SON_MAI_00010,237.717,24.98,144,2023-10-16
CAP_SON_MAI_00002,37.883,23.83,144,2023-10-13
CAP_SON_MAI_00003,289.683,34.503,144,2023-10-10
CAP_SON_MAI_00002,31.75,19.13,144,2023-10-09
CAP_SON_MAI_00002,31.7,21.01,144,2023-09-28
CAP_SON_MAI_00002,52.017,47.65,144,2023-09-25
CAP_SON_MAI_00001,68.2,8.04,144,2023-09-22
CAP_SON_MAI_00002,9.15,9.08,144,2023-09-16
CAP_SON_MAI_00002,11.233,16.71,144,2023-09-16
CAP_SON_MAI_00010,299.35,56.02,144,2023-09-12
CAP_SON_MAI_00010,0.067,0.0,144,2023-09-12
CAP_SON_MAI_00002,53.9,49.22,144,2023-09-07
CAP_SON_MAI_00002,52.483,42.0,144,2023-09-04
CAP_SON_MAI_00001,77.983,6.31,144,2023-08-18
CAP_SON_MAI_00002,47.95,45.83,144,2023-08-18
CAP_SON_MAI_00002,46.467,42.6,144,2023-08-17
CAP_SON_MAI_00002,27.983,13.56,144,2023-08-11
CAP_SON_MAI_00003,236.65,27.75,144,2023-08-08
CAP_SON_MAI_00003,221.067,13.136,144,2023-08-03
CAP_SON_MAI_00003,211.65,24.005,144,2023-08-02
