Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00002,16.5,28.52,0,2024-02-25
CAP_SON_MAI_00004,174.0,31.1,0,2024-02-23
CAP_SON_MAI_00010,370.85,27.23,0,2024-02-20
CAP_SON_MAI_00004,188.083,35.26,0,2024-02-19
CAP_SON_MAI_00002,25.983,22.06,0,2024-02-11
CAP_SON_MAI_00010,96.367,17.15,0,2024-02-05
CAP_SON_MAI_00010,141.783,26.25,0,2024-02-05
CAP_SON_MAI_00002,18.283,30.78,0,2024-02-03
CAP_SON_MAI_00010,177.933,25.18,0,2024-02-01
CAP_SON_MAI_00004,78.883,14.699,0,2024-01-30
CAP_SON_MAI_00010,200.167,26.0,0,2024-01-26
CAP_SON_MAI_00010,128.4,24.31,0,2024-01-17
CAP_SON_MAI_00010,321.667,40.78,0,2024-01-15
CAP_SON_MAI_00002,31.25,46.31,0,2024-01-13
CAP_SON_MAI_00002,60.217,49.94,0,2024-01-05
CAP_SON_MAI_00004,23.667,4.18,0,2024-01-04
CAP_SON_MAI_00001,408.433,20.69,0,2024-01-02
CAP_SON_MAI_00002,9.3,9.57,0,2023-12-30
CAP_SON_MAI_00002,17.5,28.47,0,2023-12-29
CAP_SON_MAI_00004,11.883,1.97,0,2023-12-29
CAP_SON_MAI_00002,21.5,37.93,0,2023-12-28
CAP_SON_MAI_00002,22.25,30.04,0,2023-12-26
CAP_SON_MAI_00001,240.883,28.53,0,2023-12-14
CAP_SON_MAI_00002,47.05,36.16,0,2023-12-11
CAP_SON_MAI_00001,267.667,31.48,0,2023-12-07
CAP_SON_MAI_00001,3545.4,26.7,0,2023-12-01
CAP_SON_MAI_00010,111.083,18.79,0,2023-11-29
CAP_SON_MAI_00002,58.75,50.61,0,2023-11-27
CAP_SON_MAI_00004,54.667,9.88,0,2023-11-26
CAP_SON_MAI_00002,17.8,29.76,0,2023-11-25
CAP_SON_MAI_00001,211.417,20.44,0,2023-11-24
CAP_SON_MAI_00003,258.817,16.714,0,2023-11-23
CAP_SON_MAI_00001,344.767,7.55,0,2023-11-21
CAP_SON_MAI_00001,258.85,22.6,0,2023-11-20
CAP_SON_MAI_00004,240.933,43.24,0,2023-11-15
CAP_SON_MAI_00002,54.067,50.28,0,2023-11-12
CAP_SON_MAI_00010,344.7,27.21,0,2023-11-10
CAP_SON_MAI_00010,178.983,25.96,0,2023-11-08
CAP_SON_MAI_00010,194.383,18.53,0,2023-11-07
CAP_SON_MAI_00003,378.667,33.022,0,2023-11-06
CAP_SON_MAI_00002,52.417,52.04,0,2023-11-04
CAP_SON_MAI_00001,537.267,33.53,0,2023-11-03
CAP_SON_MAI_00003,306.3,36.696,0,2023-11-02
CAP_SON_MAI_00003,245.317,23.096,0,2023-10-31
CAP_SON_MAI_00001,276.383,32.14,0,2023-10-30
CAP_SON_MAI_00002,22.583,37.35,0,2023-10-29
CAP_SON_MAI_00004,149.083,26.61,0,2023-10-27
CAP_SON_MAI_00003,272.483,30.546,0,2023-10-26
CAP_SON_MAI_00004,127.65,22.11,0,2023-10-24
CAP_SON_MAI_00004,245.033,45.6,0,2023-10-23
CAP_SON_MAI_00002,34.75,43.82,0,2023-10-21
CAP_SON_MAI_00002,22.217,23.13,0,2023-10-21
CAP_SON_MAI_00004,106.883,19.32,0,2023-10-19
CAP_SON_MAI_00003,333.1,36.118,0,2023-10-18
CAP_SON_MAI_00001,82.483,9.37,0,2023-10-17
CAP_SON_MAI_00003,287.6,35.064,0,2023-10-16
CAP_SON_MAI_00002,32.5,47.02,0,2023-10-15
CAP_SON_MAI_00002,44.633,39.77,0,2023-10-13
CAP_SON_MAI_00002,46.767,36.72,0,2023-10-10
CAP_SON_MAI_00001,86.0,9.65,0,2023-10-10
CAP_SON_MAI_00002,20.333,33.35,0,2023-10-07
CAP_SON_MAI_00010,281.467,47.91,0,2023-10-06
CAP_SON_MAI_00010,236.383,32.69,0,2023-10-04
CAP_SON_MAI_00001,343.6,27.15,0,2023-10-03
CAP_SON_MAI_00010,253.85,45.35,0,2023-10-02
CAP_SON_MAI_00003,244.383,21.612,0,2023-09-28
CAP_SON_MAI_00004,129.767,23.46,0,2023-09-27
CAP_SON_MAI_00001,265.183,23.89,0,2023-09-26
CAP_SON_MAI_00002,31.033,48.8,0,2023-09-24
CAP_SON_MAI_00002,44.15,36.9,0,2023-09-19
CAP_SON_MAI_00010,240.333,44.69,0,2023-09-12
CAP_SON_MAI_00002,57.417,56.62,0,2023-09-11
CAP_SON_MAI_00010,268.55,40.2,0,2023-09-07
CAP_SON_MAI_00002,32.067,44.68,0,2023-09-01
CAP_SON_MAI_00004,106.933,18.61,0,2023-09-01
CAP_SON_MAI_00010,0.3,0.0,0,2023-08-31
CAP_SON_MAI_00003,288.583,35.285,0,2023-08-30
CAP_SON_MAI_00010,470.1,46.73,0,2023-08-14
CAP_SON_MAI_00010,0.817,0.02,0,2023-08-14
CAP_SON_MAI_00002,8.283,6.66,0,2023-08-12
CAP_SON_MAI_00002,18.633,25.08,0,2023-08-12
CAP_SON_MAI_00010,224.0,16.7,0,2023-08-11
CAP_SON_MAI_00010,175.217,31.66,0,2023-08-11
CAP_SON_MAI_00010,288.65,39.54,0,2023-08-07
CAP_SON_MAI_00002,21.217,39.48,0,2023-08-05
CAP_SON_MAI_00010,268.1,23.63,0,2023-08-04
CAP_SON_MAI_00010,275.417,45.51,0,2023-08-03
CAP_SON_MAI_00004,153.667,27.71,0,2023-08-01
CAP_SON_MAI_00010,271.117,44.7,0,2023-07-31
CAP_SON_MAI_00001,314.033,14.65,0,2023-07-28
CAP_SON_MAI_00001,277.433,21.19,0,2023-07-27
CAP_SON_MAI_00010,284.2,33.09,0,2023-07-26
CAP_SON_MAI_00010,259.567,48.81,0,2023-07-24
CAP_SON_MAI_00002,10.85,22.01,0,2023-07-23
CAP_SON_MAI_00010,245.717,26.86,0,2023-07-21
CAP_SON_MAI_00001,730.333,27.2,0,2023-07-20
CAP_SON_MAI_00001,646.967,17.5,0,2023-07-18
CAP_SON_MAI_00001,401.767,2.28,0,2023-07-17
CAP_SON_MAI_00004,239.233,44.1,0,2023-07-17
CAP_SON_MAI_00002,18.217,32.82,0,2023-07-15
CAP_SON_MAI_00004,190.433,34.7,0,2023-07-14
CAP_SON_MAI_00001,1397.75,13.73,0,2023-07-13
CAP_SON_MAI_00010,299.233,28.06,0,2023-07-11
CAP_SON_MAI_00002,1.5,1.84,0,2023-07-10
CAP_SON_MAI_00001,1469.967,12.37,0,2023-07-10
CAP_SON_MAI_00002,53.667,51.42,0,2023-07-07
CAP_SON_MAI_00010,250.683,22.31,0,2023-07-04
CAP_SON_MAI_00002,54.75,50.26,0,2023-07-03
CAP_SON_MAI_00001,309.717,13.39,0,2023-06-30
CAP_SON_MAI_00001,287.083,24.01,0,2023-06-29
CAP_SON_MAI_00003,429.967,38.751,0,2023-06-28
CAP_SON_MAI_00004,91.65,16.71,0,2023-06-26
CAP_SON_MAI_00004,133.767,23.74,0,2023-06-21
CAP_SON_MAI_00002,14.517,23.83,0,2023-06-17
CAP_SON_MAI_00002,37.617,47.38,0,2023-04-16
CAP_SON_MAI_00010,287.417,26.07,0,2023-04-12
CAP_SON_MAI_00004,101.367,17.07,0,2023-04-11
CAP_SON_MAI_00010,275.117,39.74,0,2023-04-10
CAP_SON_MAI_00001,281.8,29.33,0,2023-04-06
CAP_SON_MAI_00010,506.8,51.27,0,2023-04-05
CAP_SON_MAI_00010,298.967,43.8,0,2023-04-03
