Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00010,290.267,16.82,145,2024-02-27
CAP_SON_MAI_00010,271.217,38.76,145,2024-02-26
CAP_SON_MAI_00002,54.267,37.52,145,2024-02-23
CAP_SON_MAI_00004,194.283,35.18,145,2024-02-21
CAP_SON_MAI_00010,101.767,17.83,145,2024-02-16
CAP_SON_MAI_00010,225.683,39.76,145,2024-02-15
CAP_SON_MAI_00010,2594.3,9.41,145,2024-02-12
CAP_SON_MAI_00010,242.833,45.68,145,2024-02-12
CAP_SON_MAI_00002,50.767,37.42,145,2024-02-09
CAP_SON_MAI_00004,193.5,34.449,145,2024-02-07
CAP_SON_MAI_00004,187.317,33.17,145,2024-02-05
CAP_SON_MAI_00004,194.0,34.621,145,2024-02-02
CAP_SON_MAI_00004,205.617,37.08,145,2024-01-31
CAP_SON_MAI_00004,229.45,41.4,145,2024-01-29
CAP_SON_MAI_00004,41.733,6.39,145,2024-01-26
CAP_SON_MAI_00003,247.283,30.387,145,2024-01-26
CAP_SON_MAI_00010,227.617,35.76,145,2024-01-24
CAP_SON_MAI_00002,55.083,35.43,145,2024-01-22
CAP_SON_MAI_00002,58.383,43.13,145,2024-01-19
CAP_SON_MAI_00004,187.883,33.4,145,2024-01-17
CAP_SON_MAI_00004,152.783,27.03,145,2024-01-15
CAP_SON_MAI_00004,200.733,35.74,145,2024-01-12
CAP_SON_MAI_00004,180.017,31.77,145,2024-01-10
CAP_SON_MAI_00002,61.817,40.94,145,2024-01-08
CAP_SON_MAI_00010,237.15,31.99,145,2024-01-04
CAP_SON_MAI_00010,347.183,12.18,145,2024-01-04
CAP_SON_MAI_00004,158.25,27.35,145,2024-01-02
CAP_SON_MAI_00001,305.217,26.59,145,2023-12-28
