Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00010,1978.133,19.48,146,2024-02-28
CAP_SON_MAI_00002,51.867,28.53,146,2024-02-26
CAP_SON_MAI_00002,59.767,44.1,146,2024-02-23
CAP_SON_MAI_00002,56.217,40.75,146,2024-02-19
CAP_SON_MAI_00002,50.15,31.14,146,2024-02-12
CAP_SON_MAI_00002,53.033,35.5,146,2024-02-08
CAP_SON_MAI_00002,60.25,41.11,146,2024-02-05
CAP_SON_MAI_00002,43.167,23.36,146,2024-01-29
CAP_SON_MAI_00002,57.633,36.52,146,2024-01-26
CAP_SON_MAI_00002,52.983,33.11,146,2024-01-24
CAP_SON_MAI_00002,46.45,27.4,146,2024-01-18
CAP_SON_MAI_00002,60.6,43.64,146,2024-01-15
CAP_SON_MAI_00002,61.617,40.32,146,2024-01-08
CAP_SON_MAI_00002,66.767,45.49,146,2024-01-05
CAP_SON_MAI_00004,26.917,3.66,146,2023-12-29
