Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00002,42.517,35.61,134,2024-02-22
CAP_SON_MAI_00002,36.567,36.36,134,2024-02-06
CAP_SON_MAI_00002,46.3,45.21,134,2023-12-27
CAP_SON_MAI_00001,453.3,16.3,134,2023-11-15
CAP_SON_MAI_00010,1493.717,41.77,134,2023-11-14
CAP_SON_MAI_00001,444.8,48.84,134,2023-11-10
CAP_SON_MAI_00010,318.717,38.41,134,2023-11-07
CAP_SON_MAI_00010,0.067,0.0,134,2023-11-07
CAP_SON_MAI_00001,286.95,33.06,134,2023-11-06
CAP_SON_MAI_00002,66.333,43.75,134,2023-10-24
CAP_SON_MAI_00004,234.917,43.83,134,2023-10-13
CAP_SON_MAI_00002,41.5,47.83,134,2023-09-22
CAP_SON_MAI_00002,34.567,42.14,134,2023-08-11
CAP_SON_MAI_00002,21.35,8.15,134,2023-08-08
CAP_SON_MAI_00002,2.917,2.05,134,2023-08-08
