date,Duration (min),Total Energy (kWh),Nº cartão EVIO,Plus,Temp
2023-02-08,571.833,12.52,55.0,0.0,10.5
2023-02-09,638.25,12.39,55.0,0.0,11.5
2023-02-10,581.35,9.3,55.0,0.0,10.25
2023-02-11,0.0,0.0,0.0,0.0,9.75
2023-02-12,0.0,0.0,0.0,0.0,10.25
2023-02-13,0.0,0.0,0.0,0.0,13.0
2023-02-14,331.383,12.403,55.0,0.0,13.75
2023-02-15,583.55,8.9,55.0,0.0,14.0
2023-02-16,634.233,12.41,55.0,0.0,14.0
2023-02-17,532.633,14.670000000000002,110.0,0.0,29.0
2023-02-18,0.0,0.0,0.0,0.0,13.75
2023-02-19,0.0,0.0,0.0,0.0,15.5
2023-02-20,261.0,12.34,55.0,0.0,14.5
2023-02-21,0.0,0.0,0.0,0.025,13.0
2023-02-22,628.267,12.47,55.0,0.0,12.5
2023-02-23,0.65,0.0,55.0,0.0,9.25
2023-02-24,569.333,9.98,110.0,0.0,15.5
2023-02-25,0.0,0.0,0.0,0.05,8.25
2023-02-26,0.0,0.0,0.0,0.0,10.75
2023-02-27,700.583,12.42,55.0,0.0,9.5
2023-02-28,0.0,0.0,0.0,0.0,8.75
2023-03-01,579.483,12.53,55.0,0.0,7.75
2023-03-02,0.0,0.0,0.0,0.0,8.5
2023-03-03,261.433,10.47,55.0,0.0,9.25
2023-03-04,0.0,0.0,0.0,0.0,10.5
2023-03-05,0.0,0.0,0.0,0.125,10.25
2023-03-06,294.433,12.55,55.0,0.07500000000000001,12.0
2023-03-07,0.0,0.0,0.0,0.025,13.5
2023-03-08,588.933,12.61,55.0,0.15,14.25
2023-03-09,213.8,4.37,55.0,0.2,14.0
2023-03-10,572.55,7.98,55.0,0.0,14.0
2023-03-11,0.0,0.0,0.0,0.0,14.75
2023-03-12,0.0,0.0,0.0,0.0,14.75
2023-03-13,0.0,0.0,0.0,0.1,13.5
2023-03-14,269.95,47.77,110.0,0.0,26.0
2023-03-15,417.40000000000003,5.19,165.0,0.0,39.0
2023-03-16,576.717,12.45,55.0,0.2,13.5
2023-03-17,0.0,0.0,0.0,0.2,13.0
2023-03-18,0.0,0.0,0.0,0.125,12.75
2023-03-19,0.0,0.0,0.0,0.0,12.5
