Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00010,371.583,20.89,1,2024-02-23
CAP_SON_MAI_00010,351.817,22.31,1,2024-02-22
CAP_SON_MAI_00010,313.95,26.26,1,2024-02-20
CAP_SON_MAI_00010,329.317,23.45,1,2024-02-15
CAP_SON_MAI_00010,292.783,26.08,1,2024-02-12
CAP_SON_MAI_00004,207.45,25.18,1,2024-02-05
CAP_SON_MAI_00003,765.6,22.319,1,2024-01-30
CAP_SON_MAI_00003,719.667,25.942,1,2024-01-25
CAP_SON_MAI_00010,1454.867,25.63,1,2024-01-22
CAP_SON_MAI_00010,1628.083,26.05,1,2024-01-19
CAP_SON_MAI_00010,335.7,26.01,1,2024-01-15
CAP_SON_MAI_00010,0.067,0.0,1,2024-01-15
CAP_SON_MAI_00003,632.9,26.841,1,2024-01-02
CAP_SON_MAI_00004,108.8,13.21,1,2023-12-28
CAP_SON_MAI_00004,133.4,16.09,1,2023-12-27
CAP_SON_MAI_00003,415.317,19.827,1,2023-12-20
CAP_SON_MAI_00004,147.45,17.92,1,2023-12-20
CAP_SON_MAI_00003,8904.25,9.326,1,2023-12-14
CAP_SON_MAI_00004,209.817,25.85,1,2023-12-11
CAP_SON_MAI_00003,827.25,26.832,1,2023-11-30
CAP_SON_MAI_00004,211.383,25.99,1,2023-11-28
CAP_SON_MAI_00004,190.3,23.59,1,2023-11-24
CAP_SON_MAI_00003,706.717,26.858,1,2023-11-22
CAP_SON_MAI_00003,656.217,25.756,1,2023-11-16
CAP_SON_MAI_00004,189.283,22.68,1,2023-11-10
CAP_SON_MAI_00004,364.217,22.33,1,2023-11-09
CAP_SON_MAI_00010,308.967,18.9,1,2023-11-06
CAP_SON_MAI_00001,702.9,22.1,1,2023-11-06
CAP_SON_MAI_00003,714.75,10.514,1,2023-11-03
CAP_SON_MAI_00010,296.633,26.27,1,2023-11-02
CAP_SON_MAI_00003,698.133,26.317,1,2023-10-30
CAP_SON_MAI_00010,475.317,13.2,1,2023-10-27
CAP_SON_MAI_00003,658.267,19.008,1,2023-10-24
CAP_SON_MAI_00001,608.933,26.82,1,2023-10-23
CAP_SON_MAI_00003,572.25,27.063,1,2023-10-19
CAP_SON_MAI_00003,651.65,26.899,1,2023-10-16
CAP_SON_MAI_00001,133.967,8.0,1,2023-10-13
CAP_SON_MAI_00003,664.15,11.596,1,2023-10-11
CAP_SON_MAI_00001,680.75,26.82,1,2023-10-06
CAP_SON_MAI_00003,876.05,5.99,1,2023-10-04
CAP_SON_MAI_00004,214.333,26.05,1,2023-10-02
CAP_SON_MAI_00003,381.167,17.264,1,2023-09-27
CAP_SON_MAI_00003,241.733,14.566,1,2023-09-26
CAP_SON_MAI_00010,50.583,6.03,1,2023-09-26
CAP_SON_MAI_00004,57.05,6.82,1,2023-09-25
CAP_SON_MAI_00010,364.967,26.18,1,2023-09-19
CAP_SON_MAI_00004,132.283,16.09,1,2023-09-07
CAP_SON_MAI_00010,265.767,25.72,1,2023-09-06
CAP_SON_MAI_00003,560.567,26.742,1,2023-09-04
CAP_SON_MAI_00003,580.333,24.235,1,2023-09-01
CAP_SON_MAI_00003,0.4,0.022,1,2023-09-01
CAP_SON_MAI_00003,0.083,0.002,1,2023-09-01
CAP_SON_MAI_00004,141.733,17.34,1,2023-08-29
CAP_SON_MAI_00004,0.233,0.0,1,2023-08-29
CAP_SON_MAI_00003,656.717,16.778,1,2023-07-28
CAP_SON_MAI_00003,636.65,18.981,1,2023-07-21
CAP_SON_MAI_00003,390.55,23.043,1,2023-07-19
CAP_SON_MAI_00003,222.633,13.576,1,2023-07-17
CAP_SON_MAI_00004,203.667,25.34,1,2023-07-14
CAP_SON_MAI_00003,310.233,16.705,1,2023-07-07
CAP_SON_MAI_00010,116.1,14.17,1,2023-06-26
CAP_SON_MAI_00010,314.217,25.69,1,2023-06-19
CAP_SON_MAI_00003,676.267,26.691,1,2023-06-12
CAP_SON_MAI_00010,214.083,25.66,1,2023-05-22
CAP_SON_MAI_00004,106.867,13.12,1,2023-05-17
CAP_SON_MAI_00004,209.717,38.36,1,2023-05-16
CAP_SON_MAI_00004,206.667,25.45,1,2023-05-03
CAP_SON_MAI_00001,238.133,14.68,1,2023-04-27
CAP_SON_MAI_00004,111.583,13.64,1,2023-04-12
CAP_SON_MAI_00004,50.133,5.92,1,2023-04-03
CAP_SON_MAI_00010,533.05,12.13,1,2023-03-31
CAP_SON_MAI_00004,174.467,14.8,1,2023-03-31
CAP_SON_MAI_00004,0.517,0.03,1,2023-03-31
CAP_SON_MAI_00004,86.117,10.08,1,2023-03-03
CAP_SON_MAI_00004,286.383,17.29,1,2023-03-03
CAP_SON_MAI_00004,80.783,9.5,1,2023-03-03
CAP_SON_MAI_00004,146.65,17.22,1,2023-03-01
CAP_SON_MAI_00003,382.233,9.536,1,2023-02-15
CAP_SON_MAI_00004,63.267,7.43,1,2023-02-14
CAP_SON_MAI_00001,440.783,25.51,1,2023-02-14
CAP_SON_MAI_00010,0.083,0.0,1,2023-02-13
CAP_SON_MAI_00001,699.233,26.7,1,2023-02-06
