date,Duration (min),Total Energy (kWh),Nº cartão EVIO,Plus,Temp
2023-03-29,111.117,12.6,0.0,0.0,16.5
2023-03-30,0.0,0.0,0.0,0.0,15.0
2023-03-31,402.133,61.660000000000004,0.0,0.0,45.75
2023-04-01,0.0,0.0,0.0,0.1,13.25
2023-04-02,0.0,0.0,0.0,0.0,12.75
2023-04-03,298.967,43.8,0.0,0.0,14.25
2023-04-04,0.0,0.0,0.0,0.0,17.25
2023-04-05,506.8,51.27,0.0,0.0,16.25
2023-04-06,281.8,29.33,0.0,0.0,17.5
2023-04-07,0.0,0.0,0.0,0.0,17.5
2023-04-08,0.0,0.0,0.0,0.0,17.25
2023-04-09,0.0,0.0,0.0,0.0,15.75
2023-04-10,275.117,39.74,0.0,0.0,14.75
2023-04-11,101.367,17.07,0.0,0.0,14.75
2023-04-12,287.417,26.07,0.0,0.1,13.0
2023-04-13,0.0,0.0,0.0,0.05,13.0
2023-04-14,0.0,0.0,0.0,0.1,13.75
2023-04-15,0.0,0.0,0.0,0.0,14.5
2023-04-16,37.617,47.38,0.0,0.0,17.25
2023-04-17,0.0,0.0,0.0,0.0,19.5
2023-04-18,0.0,0.0,0.0,0.0,19.25
2023-04-19,0.0,0.0,0.0,0.0,17.0
2023-04-20,0.0,0.0,0.0,0.0,14.75
2023-04-21,0.0,0.0,0.0,0.25,13.0
2023-04-22,0.0,0.0,0.0,0.05,14.0
2023-04-23,0.0,0.0,0.0,0.05,15.25
2023-04-24,0.0,0.0,0.0,0.025,16.5
2023-04-25,0.0,0.0,0.0,0.0,17.0
2023-04-26,0.0,0.0,0.0,0.0,17.5
2023-04-27,0.0,0.0,0.0,0.0,19.0
2023-04-28,0.0,0.0,0.0,0.0,17.5
2023-04-29,0.0,0.0,0.0,0.0,17.75
2023-04-30,0.0,0.0,0.0,0.0,17.5
2023-05-01,0.0,0.0,0.0,0.0,17.25
2023-05-02,0.0,0.0,0.0,0.0,20.0
2023-05-03,0.0,0.0,0.0,0.1,18.5
2023-05-04,0.0,0.0,0.0,0.15,16.25
2023-05-05,0.0,0.0,0.0,0.025,16.25
2023-05-06,0.0,0.0,0.0,0.25,17.0
2023-05-07,0.0,0.0,0.0,0.0,16.75
2023-05-08,0.0,0.0,0.0,0.0,17.0
2023-05-09,0.0,0.0,0.0,0.075,17.75
2023-05-10,0.0,0.0,0.0,0.0,15.5
2023-05-11,0.0,0.0,0.0,0.0,16.0
2023-05-12,0.0,0.0,0.0,0.0,15.75
2023-05-13,0.0,0.0,0.0,0.0,16.0
2023-05-14,0.0,0.0,0.0,0.0,16.5
2023-05-15,0.0,0.0,0.0,0.0,16.5
2023-05-16,0.0,0.0,0.0,0.0,18.5
2023-05-17,0.0,0.0,0.0,0.0,19.25
2023-05-18,0.0,0.0,0.0,0.0,18.75
2023-05-19,0.0,0.0,0.0,0.0,18.25
2023-05-20,0.0,0.0,0.0,0.0,18.75
2023-05-21,0.0,0.0,0.0,0.0,18.75
2023-05-22,0.0,0.0,0.0,0.0,20.0
2023-05-23,0.0,0.0,0.0,0.0,20.25
2023-05-24,0.0,0.0,0.0,0.0,21.0
2023-05-25,0.0,0.0,0.0,0.0,20.0
2023-05-26,0.0,0.0,0.0,0.025,17.25
2023-05-27,0.0,0.0,0.0,0.05,17.25
2023-05-28,0.0,0.0,0.0,0.07500000000000001,16.0
2023-05-29,0.0,0.0,0.0,0.1,17.0
2023-05-30,0.0,0.0,0.0,0.0,17.0
2023-05-31,0.0,0.0,0.0,0.0,18.0
2023-06-01,0.0,0.0,0.0,0.0,17.75
2023-06-02,0.0,0.0,0.0,0.0,17.75
2023-06-03,0.0,0.0,0.0,0.025,18.5
2023-06-04,0.0,0.0,0.0,0.0,18.5
2023-06-05,0.0,0.0,0.0,0.0,19.0
2023-06-06,0.0,0.0,0.0,0.0,21.25
2023-06-07,0.0,0.0,0.0,0.55,18.75
2023-06-08,0.0,0.0,0.0,0.275,18.5
2023-06-09,0.0,0.0,0.0,0.175,18.75
2023-06-10,0.0,0.0,0.0,0.1,18.5
2023-06-11,0.0,0.0,0.0,0.0,18.5
2023-06-12,0.0,0.0,0.0,0.125,19.5
2023-06-13,0.0,0.0,0.0,0.025,18.25
2023-06-14,0.0,0.0,0.0,0.0,18.5
2023-06-15,0.0,0.0,0.0,0.0,20.25
2023-06-16,0.0,0.0,0.0,0.0,20.5
2023-06-17,14.517,23.83,0.0,0.0,19.25
2023-06-18,0.0,0.0,0.0,0.0,19.25
2023-06-19,0.0,0.0,0.0,0.125,19.5
2023-06-20,0.0,0.0,0.0,0.0,18.75
2023-06-21,133.767,23.74,0.0,0.0,18.0
2023-06-22,0.0,0.0,0.0,0.0,19.25
2023-06-23,0.0,0.0,0.0,0.0,21.75
2023-06-24,0.0,0.0,0.0,0.0,23.75
2023-06-25,0.0,0.0,0.0,0.0,21.0
2023-06-26,91.65,16.71,0.0,0.0,21.5
2023-06-27,0.0,0.0,0.0,0.0,22.5
2023-06-28,429.967,38.751,0.0,0.0,22.0
2023-06-29,287.083,24.01,0.0,0.0,20.75
2023-06-30,309.717,13.39,0.0,0.0,20.0
2023-07-01,0.0,0.0,0.0,0.0,21.5
2023-07-02,0.0,0.0,0.0,0.0,22.75
2023-07-03,54.75,50.26,0.0,0.0,20.25
2023-07-04,250.683,22.31,0.0,0.0,19.0
2023-07-05,0.0,0.0,0.0,0.0,18.75
2023-07-06,0.0,0.0,0.0,0.0,18.75
2023-07-07,53.667,51.42,0.0,0.0,18.75
2023-07-08,0.0,0.0,0.0,0.175,19.5
2023-07-09,0.0,0.0,0.0,0.0,19.0
2023-07-10,1471.467,14.209999999999999,0.0,0.0,38.5
2023-07-11,299.233,28.06,0.0,0.0,19.5
2023-07-12,0.0,0.0,0.0,0.0,19.5
2023-07-13,1397.75,13.73,0.0,0.0,19.5
2023-07-14,190.433,34.7,0.0,0.0,19.5
2023-07-15,18.217,32.82,0.0,0.025,19.25
2023-07-16,0.0,0.0,0.0,0.0,17.75
2023-07-17,641.0,46.38,0.0,0.0,38.5
2023-07-18,646.967,17.5,0.0,0.0,19.5
2023-07-19,0.0,0.0,0.0,0.0,19.25
2023-07-20,730.333,27.2,0.0,0.0,18.5
2023-07-21,245.717,26.86,0.0,0.0,19.0
2023-07-22,0.0,0.0,0.0,0.0,19.5
2023-07-23,10.85,22.01,0.0,0.0,18.25
2023-07-24,259.567,48.81,0.0,0.0,19.5
2023-07-25,0.0,0.0,0.0,0.0,18.0
2023-07-26,284.2,33.09,0.0,0.0,20.0
2023-07-27,277.433,21.19,0.0,0.0,19.0
2023-07-28,314.033,14.65,0.0,0.0,20.0
2023-07-29,0.0,0.0,0.0,0.0,0.0
2023-07-30,0.0,0.0,0.0,0.0,0.0
2023-07-31,271.117,44.7,0.0,0.0,20.0
2023-08-01,153.667,27.71,0.0,0.0,20.75
2023-08-02,0.0,0.0,0.0,0.025,19.5
2023-08-03,275.417,45.51,0.0,0.0,18.5
2023-08-04,268.1,23.63,0.0,0.0,19.25
2023-08-05,21.217,39.48,0.0,0.0,21.75
2023-08-06,0.0,0.0,0.0,0.0,24.0
2023-08-07,288.65,39.54,0.0,0.0,26.25
2023-08-08,0.0,0.0,0.0,0.0,24.5
2023-08-09,0.0,0.0,0.0,0.0,20.0
2023-08-10,0.0,0.0,0.0,0.0,21.0
2023-08-11,399.217,48.36,0.0,0.0,43.5
2023-08-12,26.915999999999997,31.74,0.0,0.05,41.5
2023-08-13,0.0,0.0,0.0,0.0,18.75
2023-08-14,470.91700000000003,46.75,0.0,0.0,37.0
2023-08-15,0.0,0.0,0.0,0.0,19.75
2023-08-16,0.0,0.0,0.0,0.0,19.5
2023-08-17,0.0,0.0,0.0,0.0,19.5
2023-08-18,0.0,0.0,0.0,0.0,20.75
2023-08-19,0.0,0.0,0.0,0.0,21.75
2023-08-20,0.0,0.0,0.0,0.0,21.0
2023-08-21,0.0,0.0,0.0,0.0,21.75
2023-08-22,0.0,0.0,0.0,0.0,25.75
2023-08-23,0.0,0.0,0.0,0.0,24.0
2023-08-24,0.0,0.0,0.0,0.0,21.25
2023-08-25,0.0,0.0,0.0,0.0,20.0
2023-08-26,0.0,0.0,0.0,0.0,18.75
2023-08-27,0.0,0.0,0.0,0.0,18.25
2023-08-28,0.0,0.0,0.0,0.0,18.75
2023-08-29,0.0,0.0,0.0,0.0,19.0
2023-08-30,288.583,35.285,0.0,0.0,19.0
2023-08-31,0.3,0.0,0.0,0.0,19.75
2023-09-01,139.0,63.29,0.0,0.0,38.5
2023-09-02,0.0,0.0,0.0,0.025,19.0
2023-09-03,0.0,0.0,0.0,0.0,20.0
2023-09-04,0.0,0.0,0.0,0.0,20.0
2023-09-05,0.0,0.0,0.0,0.275,20.75
2023-09-06,0.0,0.0,0.0,0.0,21.0
2023-09-07,268.55,40.2,0.0,0.0,21.75
2023-09-08,0.0,0.0,0.0,0.0,21.75
2023-09-09,0.0,0.0,0.0,0.4,20.5
2023-09-10,0.0,0.0,0.0,0.025,20.25
2023-09-11,57.417,56.62,0.0,0.0,19.5
2023-09-12,240.333,44.69,0.0,0.0,20.0
2023-09-13,0.0,0.0,0.0,0.0,21.75
2023-09-14,0.0,0.0,0.0,0.0,23.25
2023-09-15,0.0,0.0,0.0,0.0,20.75
2023-09-16,0.0,0.0,0.0,0.4500000000000001,18.75
2023-09-17,0.0,0.0,0.0,0.2,18.0
2023-09-18,0.0,0.0,0.0,0.3,18.25
2023-09-19,44.15,36.9,0.0,0.0,18.75
2023-09-20,0.0,0.0,0.0,0.0,18.25
2023-09-21,0.0,0.0,0.0,0.175,18.5
2023-09-22,0.0,0.0,0.0,0.05,17.5
2023-09-23,0.0,0.0,0.0,0.0,17.75
2023-09-24,31.033,48.8,0.0,0.0,19.25
2023-09-25,0.0,0.0,0.0,0.0,20.0
2023-09-26,265.183,23.89,0.0,0.0,20.25
2023-09-27,129.767,23.46,0.0,0.0,19.5
2023-09-28,244.383,21.612,0.0,0.0,20.75
2023-09-29,0.0,0.0,0.0,0.0,22.25
2023-09-30,0.0,0.0,0.0,0.0,24.75
2023-10-01,0.0,0.0,0.0,0.0,24.0
2023-10-02,253.85,45.35,0.0,0.0,21.0
2023-10-03,343.6,27.15,0.0,0.0,21.25
2023-10-04,236.383,32.69,0.0,0.0,21.5
2023-10-05,0.0,0.0,0.0,0.0,20.0
2023-10-06,281.467,47.91,0.0,0.0,22.0
2023-10-07,20.333,33.35,0.0,0.0,24.5
2023-10-08,0.0,0.0,0.0,0.0,23.25
2023-10-09,0.0,0.0,0.0,0.0,24.25
2023-10-10,132.767,46.37,0.0,0.0,47.0
2023-10-11,0.0,0.0,0.0,0.0,23.0
2023-10-12,0.0,0.0,0.0,0.0,22.5
2023-10-13,44.633,39.77,0.0,0.375,20.75
2023-10-14,0.0,0.0,0.0,0.125,19.0
2023-10-15,32.5,47.02,0.0,0.425,18.5
2023-10-16,287.6,35.064,0.0,0.15,18.75
2023-10-17,82.483,9.37,0.0,0.625,20.0
2023-10-18,333.1,36.118,0.0,0.3,19.0
2023-10-19,106.883,19.32,0.0,1.275,17.5
2023-10-20,0.0,0.0,0.0,0.6749999999999999,15.5
2023-10-21,56.967,66.95,0.0,0.8,31.5
2023-10-22,0.0,0.0,0.0,0.0,16.5
2023-10-23,245.033,45.6,0.0,0.975,14.75
2023-10-24,127.65,22.11,0.0,1.075,15.25
2023-10-25,0.0,0.0,0.0,0.325,17.75
2023-10-26,272.483,30.546,0.0,0.975,17.75
2023-10-27,149.083,26.61,0.0,0.75,16.5
2023-10-28,0.0,0.0,0.0,0.8500000000000001,17.5
2023-10-29,22.583,37.35,0.0,0.775,16.75
2023-10-30,276.383,32.14,0.0,0.525,16.0
2023-10-31,245.317,23.096,0.0,0.2,15.5
2023-11-01,0.0,0.0,0.0,0.7000000000000001,17.0
2023-11-02,306.3,36.696,0.0,0.3,15.5
2023-11-03,537.267,33.53,0.0,0.25,15.5
2023-11-04,52.417,52.04,0.0,0.4000000000000001,16.5
2023-11-05,0.0,0.0,0.0,0.525,15.25
2023-11-06,378.667,33.022,0.0,0.325,13.75
2023-11-07,194.383,18.53,0.0,0.1,14.75
2023-11-08,178.983,25.96,0.0,2.725,14.25
2023-11-09,0.0,0.0,0.0,0.025,15.0
2023-11-10,344.7,27.21,0.0,0.675,15.25
2023-11-11,0.0,0.0,0.0,0.07500000000000001,17.5
2023-11-12,54.067,50.28,0.0,0.35,17.75
2023-11-13,0.0,0.0,0.0,0.0,17.0
2023-11-14,0.0,0.0,0.0,0.0,16.5
2023-11-15,240.933,43.24,0.0,0.0,17.0
2023-11-16,0.0,0.0,0.0,0.1,16.75
2023-11-17,0.0,0.0,0.0,0.0,16.0
2023-11-18,0.0,0.0,0.0,0.0,16.25
2023-11-19,0.0,0.0,0.0,0.0,16.0
2023-11-20,258.85,22.6,0.0,0.0,16.0
2023-11-21,344.767,7.55,0.0,0.0,13.0
2023-11-22,0.0,0.0,0.0,0.0,12.75
2023-11-23,258.817,16.714,0.0,0.0,13.75
2023-11-24,211.417,20.44,0.0,0.0,13.25
2023-11-25,17.8,29.76,0.0,0.0,13.25
2023-11-26,54.667,9.88,0.0,0.0,13.25
2023-11-27,58.75,50.61,0.0,0.0,13.5
2023-11-28,0.0,0.0,0.0,0.0,15.25
2023-11-29,111.083,18.79,0.0,0.5,16.25
2023-11-30,0.0,0.0,0.0,1.15,12.5
2023-12-01,3545.4,26.7,0.0,0.6000000000000001,12.0
2023-12-02,0.0,0.0,0.0,0.0,11.0
