Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00004,209.567,12.45,5,2024-02-22
CAP_SON_MAI_00004,0.683,0.0,5,2024-02-21
CAP_SON_MAI_00001,57.117,3.29,5,2023-12-19
CAP_SON_MAI_00001,213.533,12.56,5,2023-12-15
CAP_SON_MAI_00003,343.05,12.587,5,2023-11-29
CAP_SON_MAI_00001,258.35,12.69,5,2023-11-16
CAP_SON_MAI_00010,0.6,0.0,5,2023-11-13
CAP_SON_MAI_00003,586.083,12.607,5,2023-11-10
CAP_SON_MAI_00001,342.233,12.53,5,2023-10-30
CAP_SON_MAI_00001,399.933,7.0,5,2023-10-26
CAP_SON_MAI_00001,511.083,12.84,5,2023-10-24
CAP_SON_MAI_00010,571.133,12.64,5,2023-10-19
CAP_SON_MAI_00010,0.067,0.0,5,2023-10-19
CAP_SON_MAI_00004,214.85,12.63,5,2023-10-18
CAP_SON_MAI_00003,292.233,12.494,5,2023-10-10
CAP_SON_MAI_00001,301.217,12.75,5,2023-10-04
CAP_SON_MAI_00010,337.767,12.42,5,2023-09-29
CAP_SON_MAI_00001,357.833,6.67,5,2023-09-26
CAP_SON_MAI_00001,288.817,12.54,5,2023-09-25
CAP_SON_MAI_00001,645.7,8.17,5,2023-09-08
CAP_SON_MAI_00001,177.217,6.17,5,2023-09-07
CAP_SON_MAI_00001,248.15,12.67,5,2023-09-07
CAP_SON_MAI_00001,541.1,11.95,5,2023-08-23
CAP_SON_MAI_00001,712.433,6.83,5,2023-08-22
CAP_SON_MAI_00003,521.883,12.692,5,2023-08-21
CAP_SON_MAI_00003,522.583,11.597,5,2023-08-11
CAP_SON_MAI_00003,979.367,12.988,5,2023-08-10
CAP_SON_MAI_00001,271.4,12.47,5,2023-08-07
CAP_SON_MAI_00001,233.733,11.82,5,2023-08-03
CAP_SON_MAI_00003,589.433,7.243,5,2023-07-20
CAP_SON_MAI_00001,312.483,1.7,5,2023-07-19
CAP_SON_MAI_00001,238.667,12.47,5,2023-07-19
CAP_SON_MAI_00001,533.867,12.51,5,2023-07-18
CAP_SON_MAI_00003,86.3,5.279,5,2023-07-13
CAP_SON_MAI_00003,20458.817,11.579,5,2023-07-13
CAP_SON_MAI_00003,333.683,12.591,5,2023-07-12
CAP_SON_MAI_00004,216.867,12.71,5,2023-07-11
CAP_SON_MAI_00001,206.883,12.33,5,2023-07-07
CAP_SON_MAI_00001,264.6,12.42,5,2023-06-30
CAP_SON_MAI_00003,233.767,12.704,5,2023-06-28
CAP_SON_MAI_00010,208.133,12.58,5,2023-06-26
CAP_SON_MAI_00010,0.083,0.0,5,2023-06-26
CAP_SON_MAI_00001,197.767,9.8,5,2023-06-02
CAP_SON_MAI_00001,267.2,12.63,5,2023-06-01
CAP_SON_MAI_00004,0.65,0.0,5,2023-05-23
CAP_SON_MAI_00004,0.283,0.0,5,2023-05-23
CAP_SON_MAI_00001,200.733,11.96,5,2023-05-23
CAP_SON_MAI_00001,280.05,7.29,5,2023-05-11
CAP_SON_MAI_00001,179.933,10.77,5,2023-05-11
CAP_SON_MAI_00001,207.317,12.46,5,2023-05-05
CAP_SON_MAI_00001,260.283,12.3,5,2023-04-13
CAP_SON_MAI_00001,152.333,8.96,5,2023-04-12
CAP_SON_MAI_00001,381.75,7.42,5,2023-02-23
CAP_SON_MAI_00001,262.967,12.5,5,2023-02-22
CAP_SON_MAI_00003,118.033,6.737,5,2023-02-20
CAP_SON_MAI_00003,223.617,12.831,5,2023-02-09
CAP_SON_MAI_00003,685.583,10.821,5,2023-02-07
CAP_SON_MAI_00003,310.733,12.451,5,2023-02-06
