Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00010,210.783,12.55,50,2024-02-27
CAP_SON_MAI_00004,209.05,12.59,50,2024-02-26
CAP_SON_MAI_00010,307.95,12.87,50,2024-02-22
CAP_SON_MAI_00004,204.25,12.3,50,2024-02-15
CAP_SON_MAI_00010,312.7,12.48,50,2024-01-31
CAP_SON_MAI_00004,112.617,6.85,50,2024-01-29
CAP_SON_MAI_00003,281.317,12.512,50,2024-01-26
CAP_SON_MAI_00010,221.633,12.51,50,2024-01-24
CAP_SON_MAI_00004,207.5,12.6,50,2024-01-22
CAP_SON_MAI_00010,286.25,12.73,50,2024-01-11
CAP_SON_MAI_00003,175.567,10.502,50,2024-01-03
CAP_SON_MAI_00001,1975.167,12.59,50,2023-12-28
CAP_SON_MAI_00003,249.35,12.649,50,2023-12-21
CAP_SON_MAI_00004,210.867,12.75,50,2023-12-20
CAP_SON_MAI_00001,285.067,12.88,50,2023-12-15
CAP_SON_MAI_00004,204.417,12.55,50,2023-12-14
CAP_SON_MAI_00004,204.5,12.51,50,2023-12-11
CAP_SON_MAI_00001,151.983,9.16,50,2023-12-06
CAP_SON_MAI_00010,131.533,8.04,50,2023-12-06
CAP_SON_MAI_00010,307.25,12.68,50,2023-12-05
CAP_SON_MAI_00003,226.183,12.442,50,2023-11-28
CAP_SON_MAI_00010,454.367,12.58,50,2023-11-24
CAP_SON_MAI_00010,273.133,12.7,50,2023-11-16
CAP_SON_MAI_00003,222.7,12.488,50,2023-11-15
CAP_SON_MAI_00010,192.617,11.31,50,2023-11-13
CAP_SON_MAI_00004,218.483,12.76,50,2023-11-08
CAP_SON_MAI_00004,0.65,0.0,50,2023-11-08
CAP_SON_MAI_00004,0.65,0.0,50,2023-11-08
CAP_SON_MAI_00004,201.1,11.75,50,2023-11-07
CAP_SON_MAI_00004,0.65,0.0,50,2023-11-07
CAP_SON_MAI_00004,208.567,12.45,50,2023-11-02
CAP_SON_MAI_00003,249.35,12.535,50,2023-10-31
CAP_SON_MAI_00003,271.75,12.643,50,2023-10-30
CAP_SON_MAI_00010,507.85,12.65,50,2023-10-26
CAP_SON_MAI_00003,259.183,12.577,50,2023-10-24
CAP_SON_MAI_00010,273.683,12.59,50,2023-10-23
CAP_SON_MAI_00004,108.15,6.53,50,2023-10-19
CAP_SON_MAI_00001,16.417,0.96,50,2023-10-19
CAP_SON_MAI_00003,898.733,12.883,50,2023-10-18
CAP_SON_MAI_00004,206.617,12.51,50,2023-10-17
CAP_SON_MAI_00010,360.65,12.46,50,2023-10-16
CAP_SON_MAI_00003,196.333,11.833,50,2023-10-13
CAP_SON_MAI_00001,343.917,12.44,50,2023-10-11
CAP_SON_MAI_00010,279.533,12.72,50,2023-10-10
CAP_SON_MAI_00010,192.333,11.44,50,2023-10-03
CAP_SON_MAI_00010,130.083,7.84,50,2023-10-02
CAP_SON_MAI_00003,305.717,12.814,50,2023-09-28
CAP_SON_MAI_00003,297.367,12.472,50,2023-09-26
CAP_SON_MAI_00001,319.5,12.28,50,2023-09-22
CAP_SON_MAI_00003,180.8,10.79,50,2023-09-21
CAP_SON_MAI_00004,205.033,12.37,50,2023-09-20
CAP_SON_MAI_00010,335.283,12.69,50,2023-09-01
CAP_SON_MAI_00010,431.217,12.47,50,2023-08-30
CAP_SON_MAI_00003,156.483,9.417,50,2023-08-28
CAP_SON_MAI_00004,150.65,9.01,50,2023-08-21
CAP_SON_MAI_00010,437.6,12.55,50,2023-08-17
CAP_SON_MAI_00010,403.4,12.36,50,2023-08-09
CAP_SON_MAI_00010,239.933,12.21,50,2023-08-07
CAP_SON_MAI_00003,401.967,12.469,50,2023-08-04
CAP_SON_MAI_00004,205.517,12.31,50,2023-08-02
CAP_SON_MAI_00003,297.7,12.475,50,2023-07-18
CAP_SON_MAI_00003,285.15,12.477,50,2023-07-11
CAP_SON_MAI_00003,316.333,12.876,50,2023-06-30
CAP_SON_MAI_00001,181.667,10.91,50,2023-06-28
CAP_SON_MAI_00001,78.8,4.81,50,2023-06-28
CAP_SON_MAI_00010,222.499,0.0,50,2023-06-19
CAP_SON_MAI_00010,309.283,12.38,50,2023-06-12
CAP_SON_MAI_00003,284.717,12.327,50,2023-06-07
CAP_SON_MAI_00004,205.367,12.33,50,2023-06-02
CAP_SON_MAI_00010,267.817,12.45,50,2023-05-29
CAP_SON_MAI_00001,272.817,12.24,50,2023-05-22
CAP_SON_MAI_00004,67.817,4.16,50,2023-05-19
CAP_SON_MAI_00001,161.067,9.63,50,2023-05-19
CAP_SON_MAI_00010,302.75,12.69,50,2023-05-15
CAP_SON_MAI_00001,558.333,12.31,50,2023-05-10
CAP_SON_MAI_00010,347.533,12.43,50,2023-05-04
