Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00004,74.783,9.14,46,2024-02-29
CAP_SON_MAI_00010,211.183,8.6,46,2024-02-28
CAP_SON_MAI_00004,0.633,0.0,46,2024-02-27
CAP_SON_MAI_00010,93.817,9.57,46,2024-02-27
CAP_SON_MAI_00010,239.583,10.84,46,2024-02-22
CAP_SON_MAI_00010,0.167,0.0,46,2024-02-22
CAP_SON_MAI_00010,0.4,0.0,46,2024-02-22
CAP_SON_MAI_00010,295.633,10.76,46,2024-02-16
CAP_SON_MAI_00004,86.967,10.6,46,2024-02-15
CAP_SON_MAI_00003,287.867,10.767,46,2024-02-09
CAP_SON_MAI_00004,80.083,9.63,46,2024-02-08
CAP_SON_MAI_00004,90.6,10.71,46,2024-02-01
CAP_SON_MAI_00010,216.067,10.8,46,2024-01-31
CAP_SON_MAI_00010,1471.467,10.82,46,2024-01-29
CAP_SON_MAI_00010,304.45,10.13,46,2024-01-25
CAP_SON_MAI_00010,289.117,20.98,46,2024-01-24
CAP_SON_MAI_00002,31.45,21.05,46,2024-01-17
CAP_SON_MAI_00010,229.133,10.6,46,2024-01-16
CAP_SON_MAI_00010,278.6,10.51,46,2024-01-11
CAP_SON_MAI_00003,0.0,0.0,46,2024-01-03
CAP_SON_MAI_00001,110.683,10.54,46,2023-12-28
CAP_SON_MAI_00001,349.433,10.85,46,2023-12-22
CAP_SON_MAI_00001,97.517,7.29,46,2023-12-18
CAP_SON_MAI_00001,154.617,10.76,46,2023-12-18
CAP_SON_MAI_00010,240.733,10.84,46,2023-12-13
CAP_SON_MAI_00010,320.667,10.76,46,2023-12-11
CAP_SON_MAI_00001,196.417,10.62,46,2023-12-07
CAP_SON_MAI_00010,220.35,8.65,46,2023-12-05
CAP_SON_MAI_00004,92.283,10.81,46,2023-12-04
CAP_SON_MAI_00004,90.683,10.82,46,2023-11-30
CAP_SON_MAI_00010,304.55,10.75,46,2023-11-28
