Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00004,155.883,8.89,76,2024-02-29
CAP_SON_MAI_00004,144.0,8.0,76,2024-02-27
CAP_SON_MAI_00004,127.517,7.12,76,2024-02-21
CAP_SON_MAI_00004,131.217,7.39,76,2024-02-20
CAP_SON_MAI_00004,192.133,11.15,76,2024-02-19
CAP_SON_MAI_00004,140.233,7.92,76,2024-02-09
CAP_SON_MAI_00004,129.133,7.2,76,2024-01-31
CAP_SON_MAI_00010,1468.1,1.76,76,2024-01-29
CAP_SON_MAI_00004,192.583,11.14,76,2024-01-26
CAP_SON_MAI_00003,402.0,7.421,76,2024-01-24
CAP_SON_MAI_00004,198.517,11.39,76,2024-01-19
CAP_SON_MAI_00004,23.4,3.88,76,2024-01-14
CAP_SON_MAI_00004,193.6,11.2,76,2024-01-08
CAP_SON_MAI_00004,164.733,9.51,76,2024-01-05
CAP_SON_MAI_00004,150.317,8.58,76,2024-01-04
CAP_SON_MAI_00004,173.05,10.64,76,2024-01-03
CAP_SON_MAI_00010,276.5,5.53,76,2024-01-03
CAP_SON_MAI_00004,197.9,11.36,76,2024-01-03
CAP_SON_MAI_00004,193.25,11.22,76,2023-12-27
CAP_SON_MAI_00001,236.467,11.36,76,2023-12-19
CAP_SON_MAI_00001,548.633,11.22,76,2023-12-18
CAP_SON_MAI_00003,308.283,8.321,76,2023-12-12
CAP_SON_MAI_00004,194.517,11.23,76,2023-12-11
CAP_SON_MAI_00010,292.517,6.58,76,2023-12-06
CAP_SON_MAI_00004,170.033,9.79,76,2023-12-06
CAP_SON_MAI_00004,196.683,11.23,76,2023-12-05
CAP_SON_MAI_00004,195.95,11.36,76,2023-11-29
CAP_SON_MAI_00004,193.6,11.26,76,2023-11-28
CAP_SON_MAI_00003,228.15,11.446,76,2023-11-27
CAP_SON_MAI_00001,346.95,11.73,76,2023-11-24
CAP_SON_MAI_00003,392.333,11.289,76,2023-11-24
CAP_SON_MAI_00010,275.367,8.46,76,2023-11-21
CAP_SON_MAI_00003,611.55,11.307,76,2023-11-20
CAP_SON_MAI_00003,276.367,8.516,76,2023-11-16
CAP_SON_MAI_00003,298.217,11.389,76,2023-11-15
CAP_SON_MAI_00003,359.083,11.267,76,2023-11-13
CAP_SON_MAI_00004,183.35,10.37,76,2023-11-10
CAP_SON_MAI_00004,204.183,11.59,76,2023-11-09
CAP_SON_MAI_00003,357.4,11.568,76,2023-11-08
CAP_SON_MAI_00004,182.533,10.45,76,2023-11-08
CAP_SON_MAI_00004,150.25,8.31,76,2023-11-07
CAP_SON_MAI_00004,199.35,11.29,76,2023-11-03
CAP_SON_MAI_00004,163.283,9.22,76,2023-10-31
CAP_SON_MAI_00004,198.217,11.31,76,2023-10-30
CAP_SON_MAI_00004,196.067,11.25,76,2023-10-25
CAP_SON_MAI_00004,197.617,11.48,76,2023-10-23
CAP_SON_MAI_00004,198.267,11.56,76,2023-10-16
CAP_SON_MAI_00010,232.067,11.38,76,2023-10-12
CAP_SON_MAI_00004,147.017,8.4,76,2023-10-11
CAP_SON_MAI_00004,205.05,11.56,76,2023-10-10
CAP_SON_MAI_00004,199.833,11.67,76,2023-10-06
CAP_SON_MAI_00004,148.083,8.21,76,2023-10-04
CAP_SON_MAI_00004,204.2,11.51,76,2023-10-03
CAP_SON_MAI_00004,197.25,11.4,76,2023-09-28
CAP_SON_MAI_00004,195.833,11.23,76,2023-09-26
CAP_SON_MAI_00010,0.1,0.0,76,2023-09-25
CAP_SON_MAI_00004,0.65,0.0,76,2023-09-22
CAP_SON_MAI_00004,137.583,7.66,76,2023-09-22
CAP_SON_MAI_00001,303.067,11.85,76,2023-09-20
CAP_SON_MAI_00004,137.0,7.65,76,2023-09-19
CAP_SON_MAI_00003,331.917,11.526,76,2023-09-18
CAP_SON_MAI_00004,140.533,7.93,76,2023-09-12
CAP_SON_MAI_00001,327.933,11.59,76,2023-09-11
CAP_SON_MAI_00004,0.783,0.01,76,2023-09-08
CAP_SON_MAI_00004,199.483,11.62,76,2023-09-07
CAP_SON_MAI_00004,198.533,11.56,76,2023-09-06
CAP_SON_MAI_00001,268.067,11.97,76,2023-09-01
CAP_SON_MAI_00001,0.317,0.01,76,2023-09-01
CAP_SON_MAI_00010,3058.95,12.02,76,2023-08-28
CAP_SON_MAI_00001,293.567,8.78,76,2023-08-24
CAP_SON_MAI_00010,187.583,10.65,76,2023-08-21
CAP_SON_MAI_00004,105.0,5.77,76,2023-08-18
CAP_SON_MAI_00004,145.583,8.16,76,2023-08-17
CAP_SON_MAI_00001,196.367,11.65,76,2023-08-16
CAP_SON_MAI_00004,168.517,9.71,76,2023-07-28
