Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00002,30.283,42.03,133,2024-02-29
CAP_SON_MAI_00010,200.217,25.3,133,2024-02-28
CAP_SON_MAI_00002,46.667,55.72,133,2024-02-28
CAP_SON_MAI_00004,253.6,46.87,133,2024-02-27
CAP_SON_MAI_00002,56.233,56.78,133,2024-02-26
CAP_SON_MAI_00002,29.767,42.96,133,2024-02-20
CAP_SON_MAI_00004,290.233,54.141,133,2024-02-14
CAP_SON_MAI_00003,535.017,46.532,133,2024-02-12
CAP_SON_MAI_00010,242.883,17.67,133,2024-02-06
CAP_SON_MAI_00004,0.933,0.041,133,2024-02-06
CAP_SON_MAI_00010,0.767,0.05,133,2024-02-06
CAP_SON_MAI_00010,4258.233,50.76,133,2024-02-02
CAP_SON_MAI_00002,50.233,45.36,133,2024-01-31
CAP_SON_MAI_00002,42.983,42.56,133,2024-01-29
CAP_SON_MAI_00002,43.6,47.55,133,2024-01-29
CAP_SON_MAI_00010,166.267,31.28,133,2024-01-25
CAP_SON_MAI_00002,38.367,49.29,133,2024-01-22
CAP_SON_MAI_00002,54.717,47.44,133,2024-01-11
CAP_SON_MAI_00002,53.683,54.57,133,2024-01-08
CAP_SON_MAI_00002,56.733,54.65,133,2024-01-05
CAP_SON_MAI_00003,113.017,4.089,133,2023-12-29
CAP_SON_MAI_00003,52.8,6.495,133,2023-12-29
CAP_SON_MAI_00004,230.8,43.1,133,2023-12-29
CAP_SON_MAI_00002,58.267,50.44,133,2023-12-22
CAP_SON_MAI_00002,17.667,14.91,133,2023-12-19
CAP_SON_MAI_00003,174.1,20.859,133,2023-12-19
CAP_SON_MAI_00001,218.033,24.99,133,2023-12-19
CAP_SON_MAI_00002,55.617,52.55,133,2023-12-14
CAP_SON_MAI_00010,352.983,59.79,133,2023-12-12
CAP_SON_MAI_00010,36.467,6.76,133,2023-12-07
CAP_SON_MAI_00002,55.483,50.09,133,2023-12-07
CAP_SON_MAI_00002,46.75,33.78,133,2023-12-04
CAP_SON_MAI_00002,11.1,18.65,133,2023-12-04
CAP_SON_MAI_00002,38.8,46.26,133,2023-11-27
CAP_SON_MAI_00001,330.817,38.35,133,2023-11-16
CAP_SON_MAI_00003,576.183,55.564,133,2023-11-14
CAP_SON_MAI_00002,38.15,50.43,133,2023-11-10
CAP_SON_MAI_00001,496.3,53.54,133,2023-11-09
CAP_SON_MAI_00003,337.267,11.813,133,2023-11-07
CAP_SON_MAI_00002,32.417,46.48,133,2023-11-07
CAP_SON_MAI_00002,37.467,50.1,133,2023-10-16
CAP_SON_MAI_00002,51.533,48.33,133,2023-10-13
CAP_SON_MAI_00003,252.367,15.875,133,2023-10-10
CAP_SON_MAI_00004,332.1,59.56,133,2023-10-10
CAP_SON_MAI_00004,118.983,20.87,133,2023-10-03
CAP_SON_MAI_00004,220.767,39.84,133,2023-10-03
CAP_SON_MAI_00004,273.267,50.83,133,2023-09-26
CAP_SON_MAI_00010,357.55,60.26,133,2023-09-14
CAP_SON_MAI_00010,268.883,50.48,133,2023-09-12
CAP_SON_MAI_00004,252.4,46.65,133,2023-09-05
CAP_SON_MAI_00004,123.85,21.73,133,2023-08-30
CAP_SON_MAI_00002,20.167,32.15,133,2023-08-30
CAP_SON_MAI_00010,0.533,0.01,133,2023-08-30
CAP_SON_MAI_00010,0.617,0.03,133,2023-08-30
CAP_SON_MAI_00010,0.1,0.0,133,2023-08-30
CAP_SON_MAI_00004,40.15,7.1,133,2023-08-10
CAP_SON_MAI_00010,208.6,38.02,133,2023-08-10
CAP_SON_MAI_00004,308.217,55.2,133,2023-08-08
CAP_SON_MAI_00001,370.833,42.12,133,2023-08-07
CAP_SON_MAI_00010,261.183,39.42,133,2023-07-31
CAP_SON_MAI_00001,2885.767,14.31,133,2023-07-31
CAP_SON_MAI_00004,42.083,6.62,133,2023-07-24
CAP_SON_MAI_00004,244.8,46.21,133,2023-07-24
CAP_SON_MAI_00010,132.1,25.22,133,2023-07-19
CAP_SON_MAI_00002,56.2,49.83,133,2023-07-19
CAP_SON_MAI_00010,273.367,49.4,133,2023-07-18
CAP_SON_MAI_00010,313.883,16.62,133,2023-07-13
CAP_SON_MAI_00010,204.75,37.19,133,2023-07-13
CAP_SON_MAI_00004,126.1,21.76,133,2023-07-12
