Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00002,44.0,43.67,139,2024-02-19
CAP_SON_MAI_00002,63.633,51.63,139,2024-02-12
CAP_SON_MAI_00002,52.583,44.58,139,2024-01-30
CAP_SON_MAI_00002,56.717,45.74,139,2024-01-12
CAP_SON_MAI_00002,50.7,44.46,139,2024-01-08
CAP_SON_MAI_00002,67.133,55.9,139,2024-01-03
CAP_SON_MAI_00010,42.667,7.85,139,2024-01-02
CAP_SON_MAI_00010,1.433,0.18,139,2024-01-02
CAP_SON_MAI_00002,67.95,55.96,139,2023-12-21
CAP_SON_MAI_00004,279.433,50.46,139,2023-12-18
CAP_SON_MAI_00002,57.217,50.35,139,2023-12-14
CAP_SON_MAI_00004,233.583,41.99,139,2023-12-13
CAP_SON_MAI_00004,264.667,48.69,139,2023-12-07
CAP_SON_MAI_00002,58.4,45.47,139,2023-12-04
CAP_SON_MAI_00002,46.467,28.75,139,2023-11-24
CAP_SON_MAI_00004,34.033,6.16,139,2023-11-24
CAP_SON_MAI_00010,334.333,47.03,139,2023-11-20
CAP_SON_MAI_00002,50.767,49.06,139,2023-11-17
CAP_SON_MAI_00002,56.733,45.71,139,2023-11-15
CAP_SON_MAI_00002,62.367,54.72,139,2023-11-10
CAP_SON_MAI_00001,185.25,21.32,139,2023-11-08
CAP_SON_MAI_00002,35.367,25.7,139,2023-11-03
CAP_SON_MAI_00010,132.033,23.93,139,2023-11-03
CAP_SON_MAI_00002,54.217,43.85,139,2023-10-31
CAP_SON_MAI_00010,696.083,12.44,139,2023-10-30
CAP_SON_MAI_00002,51.533,39.03,139,2023-10-23
CAP_SON_MAI_00002,40.567,26.34,139,2023-10-20
CAP_SON_MAI_00003,0.2,0.007,139,2023-10-20
CAP_SON_MAI_00002,44.517,36.7,139,2023-10-19
CAP_SON_MAI_00002,0.767,0.92,139,2023-10-19
CAP_SON_MAI_00002,45.35,32.369,139,2023-10-17
CAP_SON_MAI_00002,49.8,45.91,139,2023-10-16
CAP_SON_MAI_00002,56.417,44.49,139,2023-10-13
CAP_SON_MAI_00002,49.683,30.48,139,2023-10-06
CAP_SON_MAI_00002,52.883,39.47,139,2023-10-04
