date;Charging Station;Duration (min);Total Energy (kWh);Nº cartão EVIO;Plus;Temp
2023-02-22;CAP_SON_MAI_00003;84.4;4.882;35;0.0;12.5
2023-02-23;CAP_SON_MAI_00010;109.45;10.69;46;0.0;9.25
2023-02-23;CAP_SON_MAI_00001;381.75;7.42;5;0.0;9.25
2023-02-23;CAP_SON_MAI_00004;0.65;0.0;55;0.0;9.25
2023-02-23;CAP_SON_MAI_00010;0.1;0.0;35;0.0;9.25
2023-02-23;CAP_SON_MAI_00010;175.35;10.33;35;0.0;9.25
2023-02-23;CAP_SON_MAI_00004;168.417;9.6;4;0.0;9.25
2023-02-24;CAP_SON_MAI_00010;0.083;0.0;55;0.0;7.75
2023-02-24;CAP_SON_MAI_00010;569.25;9.98;55;0.0;7.75
2023-02-27;CAP_SON_MAI_00004;211.233;12.11;76;0.0;9.5
2023-02-27;CAP_SON_MAI_00010;700.583;12.42;55;0.0;9.5
2023-02-27;CAP_SON_MAI_00004;181.783;10.03;4;0.0;9.5
2023-02-27;CAP_SON_MAI_00004;221.317;12.76;50;0.0;9.5
2023-02-28;CAP_SON_MAI_00004;187.017;10.5;35;0.0;8.75
2023-02-28;CAP_SON_MAI_00001;289.65;12.43;50;0.0;8.75
2023-02-28;CAP_SON_MAI_00002;47.867;48.04;29;0.0;8.75
2023-02-28;CAP_SON_MAI_00004;171.65;9.71;4;0.0;8.75
2023-03-01;CAP_SON_MAI_00004;146.65;17.22;1;0.0;7.75
2023-03-01;CAP_SON_MAI_00010;0.133;0.0;87;0.0;7.75
2023-03-01;CAP_SON_MAI_00010;0.4;0.0;87;0.0;7.75
2023-03-01;CAP_SON_MAI_00010;337.9;11.85;87;0.0;7.75
2023-03-01;CAP_SON_MAI_00001;579.483;12.53;55;0.0;7.75
2023-03-02;CAP_SON_MAI_00004;187.683;10.38;76;0.0;8.5
2023-03-02;CAP_SON_MAI_00001;405.233;12.74;51;0.0;8.5
2023-03-03;CAP_SON_MAI_00004;80.783;9.5;1;0.0;9.25
2023-03-03;CAP_SON_MAI_00004;77.333;8.74;46;0.0;9.25
2023-03-03;CAP_SON_MAI_00001;261.433;10.47;55;0.0;9.25
2023-03-03;CAP_SON_MAI_00004;286.383;17.29;1;0.0;9.25
2023-03-03;CAP_SON_MAI_00004;188.35;10.6;35;0.0;9.25
2023-03-03;CAP_SON_MAI_00004;86.117;10.08;1;0.0;9.25
2023-03-03;CAP_SON_MAI_00002;52.567;46.92;144;0.0;9.25
2023-03-06;CAP_SON_MAI_00010;302.967;11.77;76;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00004;250.533;40.94;144;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00004;0.15;0.0;30;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00001;294.433;12.55;55;0.07500000000000001;12.0
