Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00004,290.983,52.82,29,2024-02-28
CAP_SON_MAI_00004,72.617,12.86,29,2024-02-16
CAP_SON_MAI_00002,25.583,33.58,29,2024-02-16
CAP_SON_MAI_00010,272.633,49.94,29,2024-02-06
CAP_SON_MAI_00002,20.433,36.54,29,2024-02-01
CAP_SON_MAI_00004,285.95,52.98,29,2024-01-23
CAP_SON_MAI_00004,60.817,9.28,29,2024-01-19
CAP_SON_MAI_00010,255.133,46.86,29,2024-01-18
CAP_SON_MAI_00010,902.15,39.6,29,2024-01-10
CAP_SON_MAI_00002,5.633,10.99,29,2024-01-06
CAP_SON_MAI_00001,562.3,49.6,29,2023-12-21
CAP_SON_MAI_00004,239.283,42.63,29,2023-12-19
CAP_SON_MAI_00002,52.317,49.35,29,2023-12-15
CAP_SON_MAI_00004,189.783,33.89,29,2023-12-12
CAP_SON_MAI_00001,227.383,26.79,29,2023-12-11
CAP_SON_MAI_00001,503.317,43.99,29,2023-12-07
CAP_SON_MAI_00004,82.883,14.14,29,2023-12-04
CAP_SON_MAI_00002,20.35,30.88,29,2023-12-04
CAP_SON_MAI_00004,41.2,7.39,29,2023-11-30
CAP_SON_MAI_00002,51.617,47.14,29,2023-11-30
CAP_SON_MAI_00010,316.317,49.64,29,2023-11-23
CAP_SON_MAI_00002,50.283,45.07,29,2023-11-09
CAP_SON_MAI_00002,48.583,48.73,29,2023-11-06
CAP_SON_MAI_00010,463.783,48.98,29,2023-11-02
CAP_SON_MAI_00010,190.85,26.66,29,2023-10-31
CAP_SON_MAI_00010,128.3,23.31,29,2023-10-31
CAP_SON_MAI_00002,44.083,46.23,29,2023-10-27
CAP_SON_MAI_00002,30.733,41.67,29,2023-10-23
CAP_SON_MAI_00002,49.533,49.53,29,2023-10-20
CAP_SON_MAI_00004,2.15,0.17,29,2023-10-20
CAP_SON_MAI_00002,49.867,51.89,29,2023-10-17
CAP_SON_MAI_00001,217.55,6.8,29,2023-10-16
CAP_SON_MAI_00002,42.1,42.34,29,2023-10-16
CAP_SON_MAI_00002,21.383,7.91,29,2023-10-09
CAP_SON_MAI_00002,28.85,39.78,29,2023-10-09
CAP_SON_MAI_00010,296.883,53.41,29,2023-10-04
CAP_SON_MAI_00003,80.1,4.889,29,2023-10-02
CAP_SON_MAI_00002,45.483,48.15,29,2023-10-02
CAP_SON_MAI_00002,43.567,45.98,29,2023-09-28
CAP_SON_MAI_00004,101.4,17.67,29,2023-09-26
CAP_SON_MAI_00010,256.85,46.76,29,2023-09-25
CAP_SON_MAI_00010,4009.883,40.46,29,2023-09-22
CAP_SON_MAI_00002,34.85,20.94,29,2023-09-21
CAP_SON_MAI_00004,65.017,11.0,29,2023-09-19
CAP_SON_MAI_00010,296.15,46.88,29,2023-09-18
CAP_SON_MAI_00001,89.017,10.21,29,2023-09-08
CAP_SON_MAI_00001,329.35,8.09,29,2023-09-07
CAP_SON_MAI_00010,224.167,41.9,29,2023-09-07
CAP_SON_MAI_00002,38.233,29.05,29,2023-09-05
CAP_SON_MAI_00010,118.417,22.19,29,2023-09-05
CAP_SON_MAI_00010,1115.583,48.02,29,2023-09-04
CAP_SON_MAI_00004,0.65,0.0,29,2023-09-04
CAP_SON_MAI_00004,274.45,50.56,29,2023-08-29
CAP_SON_MAI_00010,279.167,40.0,29,2023-08-21
CAP_SON_MAI_00010,282.85,44.28,29,2023-08-16
CAP_SON_MAI_00002,7.1,10.14,29,2023-08-11
CAP_SON_MAI_00010,314.5,35.01,29,2023-08-10
CAP_SON_MAI_00001,122.75,13.98,29,2023-08-10
CAP_SON_MAI_00010,295.15,49.99,29,2023-08-04
CAP_SON_MAI_00004,276.85,51.15,29,2023-08-03
CAP_SON_MAI_00003,157.483,2.671,29,2023-07-14
CAP_SON_MAI_00004,208.5,39.35,29,2023-07-10
CAP_SON_MAI_00002,42.633,41.17,29,2023-07-07
CAP_SON_MAI_00010,0.567,0.02,29,2023-07-07
CAP_SON_MAI_00010,68.6,12.98,29,2023-07-07
CAP_SON_MAI_00004,201.183,37.86,29,2023-07-03
CAP_SON_MAI_00001,0.467,0.01,29,2023-07-03
CAP_SON_MAI_00010,389.783,47.15,29,2023-06-28
CAP_SON_MAI_00002,41.75,42.05,29,2023-06-20
CAP_SON_MAI_00002,8.25,6.41,29,2023-06-13
CAP_SON_MAI_00004,236.333,43.06,29,2023-06-12
CAP_SON_MAI_00010,321.983,19.2,29,2023-05-31
CAP_SON_MAI_00010,0.1,0.0,29,2023-05-31
CAP_SON_MAI_00004,237.1,45.13,29,2023-05-30
CAP_SON_MAI_00002,22.55,28.57,29,2023-05-26
CAP_SON_MAI_00002,35.3,25.98,29,2023-05-24
CAP_SON_MAI_00004,260.017,47.33,29,2023-05-08
CAP_SON_MAI_00004,229.267,43.58,29,2023-05-02
CAP_SON_MAI_00004,24.567,4.32,29,2023-05-02
CAP_SON_MAI_00004,287.367,53.18,29,2023-04-26
CAP_SON_MAI_00010,0.067,0.0,29,2023-04-26
CAP_SON_MAI_00004,286.133,53.17,29,2023-04-20
CAP_SON_MAI_00004,101.333,17.95,29,2023-04-19
CAP_SON_MAI_00004,140.85,26.26,29,2023-04-18
CAP_SON_MAI_00002,15.2,17.35,29,2023-04-17
CAP_SON_MAI_00010,303.083,49.16,29,2023-04-11
CAP_SON_MAI_00001,666.9,48.0,29,2023-04-05
CAP_SON_MAI_00002,25.367,8.0,29,2023-03-29
CAP_SON_MAI_00004,251.567,46.07,29,2023-03-29
CAP_SON_MAI_00002,19.783,21.42,29,2023-03-27
CAP_SON_MAI_00002,8.15,3.65,29,2023-03-25
CAP_SON_MAI_00002,29.35,44.63,29,2023-03-25
CAP_SON_MAI_00004,58.817,9.64,29,2023-03-20
CAP_SON_MAI_00002,32.433,44.21,29,2023-03-20
CAP_SON_MAI_00004,243.683,43.61,29,2023-03-17
CAP_SON_MAI_00001,371.467,23.8,29,2023-03-15
CAP_SON_MAI_00010,307.767,7.85,29,2023-03-14
CAP_SON_MAI_00002,28.267,34.96,29,2023-03-09
CAP_SON_MAI_00004,153.083,26.52,29,2023-03-09
CAP_SON_MAI_00002,10.533,15.83,29,2023-03-09
CAP_SON_MAI_00004,1.8,0.1,29,2023-03-09
CAP_SON_MAI_00002,47.533,35.95,29,2023-03-08
CAP_SON_MAI_00004,0.867,0.04,29,2023-03-08
CAP_SON_MAI_00004,0.15,0.0,29,2023-03-08
CAP_SON_MAI_00002,47.867,48.04,29,2023-02-28
CAP_SON_MAI_00010,336.067,42.31,29,2023-02-15
CAP_SON_MAI_00003,250.7,10.811,29,2023-02-14
CAP_SON_MAI_00010,268.833,46.69,29,2023-02-13
CAP_SON_MAI_00010,0.217,0.0,29,2023-02-13
CAP_SON_MAI_00004,143.1,23.82,29,2023-02-03
CAP_SON_MAI_00004,232.767,41.44,29,2023-02-01
CAP_SON_MAI_00004,1.017,0.04,29,2023-02-01
