Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00004,199.817,11.87,87,2024-02-28
CAP_SON_MAI_00010,232.05,11.69,87,2024-02-22
CAP_SON_MAI_00010,352.767,11.73,87,2024-02-16
CAP_SON_MAI_00010,622.05,11.53,87,2024-02-08
CAP_SON_MAI_00010,339.667,11.54,87,2024-02-05
CAP_SON_MAI_00010,556.033,11.57,87,2024-01-26
CAP_SON_MAI_00010,252.9,11.69,87,2024-01-17
CAP_SON_MAI_00004,198.933,11.92,87,2024-01-16
CAP_SON_MAI_00010,536.633,11.86,87,2024-01-12
CAP_SON_MAI_00010,1445.683,11.87,87,2024-01-09
CAP_SON_MAI_00010,676.5,11.62,87,2024-01-05
CAP_SON_MAI_00001,613.25,11.31,87,2024-01-02
CAP_SON_MAI_00010,504.667,11.69,87,2023-12-27
CAP_SON_MAI_00010,520.633,11.52,87,2023-12-22
CAP_SON_MAI_00010,413.95,11.72,87,2023-12-18
CAP_SON_MAI_00010,112.717,6.87,87,2023-12-18
CAP_SON_MAI_00010,0.183,0.01,87,2023-12-15
CAP_SON_MAI_00001,200.233,11.59,87,2023-12-07
CAP_SON_MAI_00010,0.417,0.0,87,2023-11-24
CAP_SON_MAI_00001,77.25,4.69,87,2023-11-22
CAP_SON_MAI_00001,74.967,4.51,87,2023-11-22
CAP_SON_MAI_00010,1453.95,11.47,87,2023-11-14
CAP_SON_MAI_00004,0.633,0.0,87,2023-11-10
CAP_SON_MAI_00004,0.217,0.0,87,2023-11-10
CAP_SON_MAI_00001,552.633,12.1,87,2023-10-25
CAP_SON_MAI_00004,200.65,11.99,87,2023-10-24
CAP_SON_MAI_00010,243.983,12.01,87,2023-10-18
CAP_SON_MAI_00010,534.65,12.31,87,2023-10-17
CAP_SON_MAI_00010,2.083,0.0,87,2023-10-12
CAP_SON_MAI_00010,251.4,11.67,87,2023-10-11
CAP_SON_MAI_00010,633.967,11.93,87,2023-10-10
CAP_SON_MAI_00010,622.567,12.04,87,2023-10-09
CAP_SON_MAI_00010,673.517,11.78,87,2023-10-04
CAP_SON_MAI_00010,306.367,11.94,87,2023-10-03
CAP_SON_MAI_00004,203.083,12.22,87,2023-09-28
CAP_SON_MAI_00010,215.5,11.86,87,2023-09-27
CAP_SON_MAI_00010,622.767,11.86,87,2023-09-18
CAP_SON_MAI_00001,307.167,5.6,87,2023-09-13
CAP_SON_MAI_00010,444.25,12.03,87,2023-09-07
CAP_SON_MAI_00010,546.633,11.93,87,2023-09-05
CAP_SON_MAI_00010,1061.017,10.28,87,2023-09-04
CAP_SON_MAI_00010,179.6,11.11,87,2023-08-30
CAP_SON_MAI_00001,292.467,11.62,87,2023-08-29
CAP_SON_MAI_00010,546.667,12.22,87,2023-08-28
CAP_SON_MAI_00001,585.9,11.7,87,2023-08-11
CAP_SON_MAI_00001,556.85,11.91,87,2023-08-02
CAP_SON_MAI_00001,634.367,12.1,87,2023-07-12
CAP_SON_MAI_00010,224.283,6.78,87,2023-06-14
CAP_SON_MAI_00001,234.9,11.88,87,2023-06-14
CAP_SON_MAI_00001,0.517,0.02,87,2023-06-14
CAP_SON_MAI_00010,0.15,0.0,87,2023-06-09
CAP_SON_MAI_00010,321.483,11.79,87,2023-06-02
CAP_SON_MAI_00001,307.333,12.05,87,2023-05-31
CAP_SON_MAI_00001,639.833,11.9,87,2023-05-26
CAP_SON_MAI_00001,0.083,0.0,87,2023-05-24
CAP_SON_MAI_00001,230.5,12.08,87,2023-05-16
CAP_SON_MAI_00010,0.1,0.0,87,2023-03-31
CAP_SON_MAI_00010,313.95,11.98,87,2023-03-30
CAP_SON_MAI_00010,307.717,4.69,87,2023-03-28
CAP_SON_MAI_00010,266.75,11.63,87,2023-03-28
CAP_SON_MAI_00001,275.817,11.84,87,2023-03-22
CAP_SON_MAI_00001,369.25,6.81,87,2023-03-21
CAP_SON_MAI_00001,613.567,12.04,87,2023-03-17
CAP_SON_MAI_00001,631.8,12.05,87,2023-03-07
CAP_SON_MAI_00010,337.9,11.85,87,2023-03-01
CAP_SON_MAI_00010,0.4,0.0,87,2023-03-01
CAP_SON_MAI_00010,0.133,0.0,87,2023-03-01
CAP_SON_MAI_00001,499.133,11.7,87,2023-02-20
CAP_SON_MAI_00004,108.7,12.36,87,2023-02-13
CAP_SON_MAI_00004,122.35,7.05,87,2023-02-08
CAP_SON_MAI_00010,225.967,12.61,87,2023-02-01
