Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00003,0.0,0.0,51,2024-01-29
CAP_SON_MAI_00003,382.733,4.303,51,2024-01-24
CAP_SON_MAI_00003,0.0,0.0,51,2024-01-03
CAP_SON_MAI_00001,456.567,7.54,51,2023-11-23
CAP_SON_MAI_00001,171.8,9.92,51,2023-11-20
CAP_SON_MAI_00001,495.95,12.77,51,2023-11-14
CAP_SON_MAI_00001,281.917,8.19,51,2023-11-10
CAP_SON_MAI_00001,471.35,4.21,51,2023-11-08
CAP_SON_MAI_00001,291.333,8.03,51,2023-11-07
CAP_SON_MAI_00001,1.983,0.06,51,2023-11-07
CAP_SON_MAI_00003,224.9,12.7,51,2023-10-20
CAP_SON_MAI_00001,411.4,12.62,51,2023-10-16
CAP_SON_MAI_00001,423.65,3.55,51,2023-10-13
CAP_SON_MAI_00003,318.867,4.192,51,2023-10-11
CAP_SON_MAI_00003,309.183,12.646,51,2023-10-10
CAP_SON_MAI_00001,494.767,10.9,51,2023-09-28
CAP_SON_MAI_00001,335.167,4.7,51,2023-09-22
CAP_SON_MAI_00001,531.05,12.59,51,2023-09-21
CAP_SON_MAI_00001,305.117,7.59,51,2023-09-14
CAP_SON_MAI_00003,28751.85,10.422,51,2023-09-06
CAP_SON_MAI_00003,446.583,6.934,51,2023-08-23
CAP_SON_MAI_00001,542.533,12.82,51,2023-08-21
CAP_SON_MAI_00003,518.567,12.807,51,2023-08-16
CAP_SON_MAI_00001,510.717,12.61,51,2023-07-26
CAP_SON_MAI_00001,307.617,12.67,51,2023-07-19
CAP_SON_MAI_00003,314.75,6.36,51,2023-07-07
CAP_SON_MAI_00001,559.0,12.83,51,2023-03-23
CAP_SON_MAI_00001,599.383,12.33,51,2023-03-20
CAP_SON_MAI_00001,550.95,8.86,51,2023-03-17
CAP_SON_MAI_00001,1.35,0.04,51,2023-03-17
CAP_SON_MAI_00001,621.867,12.79,51,2023-03-13
CAP_SON_MAI_00001,405.233,12.74,51,2023-03-02
CAP_SON_MAI_00003,564.35,8.446,51,2023-02-16
CAP_SON_MAI_00003,613.733,4.05,51,2023-02-14
CAP_SON_MAI_00003,580.0,9.111,51,2023-02-13
CAP_SON_MAI_00003,0.933,0.026,51,2023-02-13
CAP_SON_MAI_00003,2.117,0.077,51,2023-02-13
CAP_SON_MAI_00003,579.533,12.794,51,2023-02-07
