Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00003,214.083,12.835,59,2024-02-14
CAP_SON_MAI_00004,187.55,11.19,59,2024-01-19
CAP_SON_MAI_00004,183.933,11.27,59,2024-01-17
CAP_SON_MAI_00010,171.167,10.41,59,2024-01-05
CAP_SON_MAI_00001,88.817,5.15,59,2023-12-21
CAP_SON_MAI_00001,169.683,9.88,59,2023-12-20
CAP_SON_MAI_00004,209.933,12.72,59,2023-12-13
CAP_SON_MAI_00004,0.65,0.0,59,2023-12-13
CAP_SON_MAI_00004,0.65,0.0,59,2023-12-13
CAP_SON_MAI_00003,211.433,12.707,59,2023-12-06
CAP_SON_MAI_00003,134.85,7.986,59,2023-12-05
CAP_SON_MAI_00004,206.35,12.62,59,2023-11-23
CAP_SON_MAI_00001,212.9,12.59,59,2023-11-22
CAP_SON_MAI_00003,592.233,7.821,59,2023-10-27
CAP_SON_MAI_00010,569.5,12.87,59,2023-10-26
CAP_SON_MAI_00004,31.4,1.81,59,2023-10-26
CAP_SON_MAI_00004,201.8,12.08,59,2023-10-16
CAP_SON_MAI_00003,76.583,4.485,59,2023-10-12
CAP_SON_MAI_00003,0.017,0.0,59,2023-10-12
CAP_SON_MAI_00004,200.517,12.04,59,2023-10-06
CAP_SON_MAI_00003,15.117,0.891,59,2023-10-02
CAP_SON_MAI_00003,233.733,12.629,59,2023-09-28
CAP_SON_MAI_00010,172.417,10.36,59,2023-09-27
CAP_SON_MAI_00003,247.2,12.797,59,2023-09-15
CAP_SON_MAI_00003,271.6,12.599,59,2023-09-14
CAP_SON_MAI_00004,161.767,9.65,59,2023-09-11
CAP_SON_MAI_00003,218.533,12.489,59,2023-09-11
CAP_SON_MAI_00010,0.067,0.0,59,2023-07-28
CAP_SON_MAI_00004,202.117,12.5,59,2023-07-27
CAP_SON_MAI_00003,286.367,3.495,59,2023-07-24
CAP_SON_MAI_00001,241.367,12.69,59,2023-07-24
CAP_SON_MAI_00004,201.75,12.43,59,2023-07-17
CAP_SON_MAI_00004,216.583,12.77,59,2023-07-12
CAP_SON_MAI_00004,164.333,10.14,59,2023-07-06
CAP_SON_MAI_00004,184.3,11.11,59,2023-07-06
CAP_SON_MAI_00004,198.05,12.05,59,2023-06-28
CAP_SON_MAI_00003,160.25,9.872,59,2023-06-26
CAP_SON_MAI_00010,197.883,12.04,59,2023-06-15
CAP_SON_MAI_00010,205.417,12.48,59,2023-06-01
CAP_SON_MAI_00001,68.833,4.1,59,2023-05-22
CAP_SON_MAI_00004,190.383,11.57,59,2023-05-09
CAP_SON_MAI_00001,224.933,13.02,59,2023-05-04
CAP_SON_MAI_00004,212.55,12.9,59,2023-05-02
CAP_SON_MAI_00004,165.667,10.17,59,2023-04-26
CAP_SON_MAI_00010,124.55,7.59,59,2023-04-20
CAP_SON_MAI_00010,169.067,10.43,59,2023-04-18
CAP_SON_MAI_00001,196.867,11.41,59,2023-04-13
