Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00010,303.817,9.13,35,2024-02-19
CAP_SON_MAI_00010,227.883,30.42,35,2024-02-19
CAP_SON_MAI_00010,20.917,1.28,35,2024-02-19
CAP_SON_MAI_00004,174.067,10.26,35,2024-02-16
CAP_SON_MAI_00010,182.067,6.57,35,2024-02-09
CAP_SON_MAI_00010,255.033,10.42,35,2024-02-08
CAP_SON_MAI_00010,223.8,5.01,35,2024-02-06
CAP_SON_MAI_00010,324.917,10.48,35,2024-01-31
CAP_SON_MAI_00003,298.117,10.392,35,2024-01-29
CAP_SON_MAI_00004,174.467,10.26,35,2024-01-25
CAP_SON_MAI_00004,175.667,10.28,35,2023-11-22
CAP_SON_MAI_00004,1.133,0.05,35,2023-11-22
CAP_SON_MAI_00004,179.717,10.32,35,2023-11-21
CAP_SON_MAI_00001,157.75,9.71,35,2023-11-20
CAP_SON_MAI_00003,210.4,10.585,35,2023-11-14
CAP_SON_MAI_00004,176.283,10.38,35,2023-11-13
CAP_SON_MAI_00004,172.8,10.14,35,2023-11-07
CAP_SON_MAI_00004,176.117,10.3,35,2023-10-31
CAP_SON_MAI_00004,173.967,10.18,35,2023-10-30
CAP_SON_MAI_00004,176.7,10.35,35,2023-10-27
CAP_SON_MAI_00004,170.433,10.07,35,2023-10-23
CAP_SON_MAI_00004,127.9,7.38,35,2023-10-20
CAP_SON_MAI_00004,174.15,10.32,35,2023-10-19
CAP_SON_MAI_00001,152.15,4.0,35,2023-10-16
CAP_SON_MAI_00004,143.3,8.32,35,2023-10-13
CAP_SON_MAI_00004,181.683,10.67,35,2023-10-09
CAP_SON_MAI_00003,440.717,10.418,35,2023-10-04
CAP_SON_MAI_00001,234.717,10.47,35,2023-09-27
CAP_SON_MAI_00001,327.117,10.3,35,2023-09-25
CAP_SON_MAI_00004,99.533,6.18,35,2023-09-19
CAP_SON_MAI_00004,0.75,0.0,35,2023-08-31
CAP_SON_MAI_00004,144.367,8.45,35,2023-07-26
CAP_SON_MAI_00010,214.6,10.32,35,2023-07-10
CAP_SON_MAI_00004,175.5,10.4,35,2023-07-06
CAP_SON_MAI_00010,235.267,10.56,35,2023-07-05
CAP_SON_MAI_00004,177.833,10.54,35,2023-06-28
CAP_SON_MAI_00004,99.083,6.12,35,2023-06-26
CAP_SON_MAI_00004,177.2,10.52,35,2023-06-26
CAP_SON_MAI_00004,175.583,10.43,35,2023-05-04
CAP_SON_MAI_00004,178.333,10.49,35,2023-04-18
CAP_SON_MAI_00010,280.717,10.92,35,2023-04-17
CAP_SON_MAI_00010,642.3,10.43,35,2023-04-13
CAP_SON_MAI_00004,145.767,8.8,35,2023-04-06
CAP_SON_MAI_00004,180.567,10.56,35,2023-04-04
CAP_SON_MAI_00004,163.267,9.53,35,2023-03-30
CAP_SON_MAI_00004,141.9,8.08,35,2023-03-28
CAP_SON_MAI_00004,176.517,10.35,35,2023-03-24
CAP_SON_MAI_00004,182.35,10.35,35,2023-03-23
CAP_SON_MAI_00010,162.917,9.79,35,2023-03-22
CAP_SON_MAI_00010,306.167,10.67,35,2023-03-20
CAP_SON_MAI_00004,183.267,10.53,35,2023-03-17
CAP_SON_MAI_00004,177.55,10.35,35,2023-03-15
CAP_SON_MAI_00004,187.3,10.69,35,2023-03-13
CAP_SON_MAI_00004,179.75,10.34,35,2023-03-09
CAP_SON_MAI_00004,183.567,10.4,35,2023-03-08
CAP_SON_MAI_00004,189.533,10.43,35,2023-03-06
CAP_SON_MAI_00004,188.35,10.6,35,2023-03-03
CAP_SON_MAI_00004,187.017,10.5,35,2023-02-28
CAP_SON_MAI_00010,175.35,10.33,35,2023-02-23
CAP_SON_MAI_00010,0.1,0.0,35,2023-02-23
CAP_SON_MAI_00003,84.4,4.882,35,2023-02-22
CAP_SON_MAI_00004,180.733,10.49,35,2023-02-17
CAP_SON_MAI_00004,186.917,10.54,35,2023-02-16
CAP_SON_MAI_00004,183.6,10.47,35,2023-02-15
CAP_SON_MAI_00010,397.35,10.68,35,2023-02-08
CAP_SON_MAI_00001,362.567,10.31,35,2023-02-03
