Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00004,0.083,0.0,30,2024-01-30
CAP_SON_MAI_00004,0.083,0.0,30,2024-01-30
CAP_SON_MAI_00003,0.033,0.0,30,2023-10-04
CAP_SON_MAI_00003,0.083,0.006,30,2023-10-04
CAP_SON_MAI_00001,0.2,0.0,30,2023-10-02
CAP_SON_MAI_00001,0.217,0.01,30,2023-10-02
CAP_SON_MAI_00003,0.4,0.041,30,2023-10-02
CAP_SON_MAI_00001,0.217,0.01,30,2023-03-24
CAP_SON_MAI_00004,0.15,0.0,30,2023-03-06
CAP_SON_MAI_00004,0.15,0.0,30,2023-03-06
CAP_SON_MAI_00004,0.3,0.0,30,2023-03-06
CAP_SON_MAI_00004,0.3,0.01,30,2023-03-06
CAP_SON_MAI_00004,0.283,0.01,30,2023-03-06
CAP_SON_MAI_00004,0.15,0.0,30,2023-03-06
CAP_SON_MAI_00004,0.217,0.01,30,2023-03-06
CAP_SON_MAI_00004,0.15,0.0,30,2023-03-06
CAP_SON_MAI_00004,0.133,0.0,30,2023-03-06
CAP_SON_MAI_00004,0.217,0.0,30,2023-02-06
CAP_SON_MAI_00004,0.15,0.0,30,2023-02-06
CAP_SON_MAI_00004,0.15,0.0,30,2023-02-06
