Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00010,210.0,12.25,55,2024-02-14
CAP_SON_MAI_00010,0.383,0.0,55,2024-02-09
CAP_SON_MAI_00010,170.733,12.32,55,2024-02-09
CAP_SON_MAI_00010,327.3,5.9,55,2024-02-07
CAP_SON_MAI_00004,89.683,10.8,55,2024-02-06
CAP_SON_MAI_00004,103.083,12.33,55,2024-02-06
CAP_SON_MAI_00010,311.533,34.8,55,2024-01-23
CAP_SON_MAI_00010,312.033,11.35,55,2024-01-23
CAP_SON_MAI_00001,460.867,12.06,55,2024-01-22
CAP_SON_MAI_00001,4.25,0.48,55,2024-01-22
CAP_SON_MAI_00004,99.967,12.22,55,2024-01-18
CAP_SON_MAI_00010,391.15,12.23,55,2024-01-16
CAP_SON_MAI_00004,54.917,6.56,55,2024-01-12
CAP_SON_MAI_00004,103.2,12.26,55,2024-01-12
CAP_SON_MAI_00004,46.05,5.43,55,2024-01-11
CAP_SON_MAI_00010,254.483,19.98,55,2024-01-11
CAP_SON_MAI_00010,0.383,0.0,55,2024-01-11
CAP_SON_MAI_00004,3.95,0.43,55,2024-01-11
CAP_SON_MAI_00004,0.65,0.0,55,2024-01-11
CAP_SON_MAI_00004,101.983,12.07,55,2024-01-11
CAP_SON_MAI_00010,476.217,3.26,55,2024-01-10
CAP_SON_MAI_00010,289.367,11.91,55,2024-01-10
CAP_SON_MAI_00010,74.533,8.94,55,2024-01-10
CAP_SON_MAI_00010,195.517,12.24,55,2024-01-09
CAP_SON_MAI_00010,185.1,7.67,55,2024-01-04
CAP_SON_MAI_00004,100.917,12.26,55,2024-01-02
CAP_SON_MAI_00001,223.867,12.33,55,2023-12-22
CAP_SON_MAI_00010,314.067,12.41,55,2023-12-21
CAP_SON_MAI_00001,258.783,4.61,55,2023-12-20
CAP_SON_MAI_00003,240.033,28.442,55,2023-12-19
CAP_SON_MAI_00010,101.35,11.9,55,2023-12-19
CAP_SON_MAI_00004,89.8,10.96,55,2023-12-18
CAP_SON_MAI_00004,96.083,11.81,55,2023-12-15
CAP_SON_MAI_00004,101.883,12.24,55,2023-12-14
CAP_SON_MAI_00010,564.7,12.15,55,2023-12-12
CAP_SON_MAI_00001,263.967,12.32,55,2023-12-11
CAP_SON_MAI_00001,76.983,8.63,55,2023-12-11
CAP_SON_MAI_00010,179.617,12.39,55,2023-12-07
CAP_SON_MAI_00010,615.483,12.07,55,2023-12-06
CAP_SON_MAI_00010,327.25,6.43,55,2023-11-30
CAP_SON_MAI_00010,273.683,11.02,55,2023-11-30
CAP_SON_MAI_00010,698.033,11.25,55,2023-11-29
CAP_SON_MAI_00010,620.067,12.21,55,2023-11-28
CAP_SON_MAI_00004,99.717,12.0,55,2023-11-27
CAP_SON_MAI_00010,565.417,12.13,55,2023-11-24
CAP_SON_MAI_00010,245.967,11.73,55,2023-11-23
CAP_SON_MAI_00004,101.65,11.95,55,2023-11-22
CAP_SON_MAI_00010,174.05,11.29,55,2023-11-22
CAP_SON_MAI_00004,91.967,10.82,55,2023-11-21
CAP_SON_MAI_00010,239.033,12.25,55,2023-11-21
CAP_SON_MAI_00004,55.533,6.61,55,2023-11-20
CAP_SON_MAI_00004,101.4,12.13,55,2023-11-20
CAP_SON_MAI_00004,95.217,11.15,55,2023-11-17
CAP_SON_MAI_00004,103.017,12.06,55,2023-11-16
CAP_SON_MAI_00010,579.683,12.31,55,2023-11-15
CAP_SON_MAI_00004,102.7,12.13,55,2023-11-14
CAP_SON_MAI_00004,0.517,0.0,55,2023-11-14
CAP_SON_MAI_00010,327.417,8.42,55,2023-11-09
CAP_SON_MAI_00010,169.983,12.38,55,2023-11-09
CAP_SON_MAI_00010,297.85,12.34,55,2023-11-06
CAP_SON_MAI_00010,298.333,12.39,55,2023-10-30
CAP_SON_MAI_00001,552.817,11.15,55,2023-10-27
CAP_SON_MAI_00001,655.717,12.3,55,2023-10-26
CAP_SON_MAI_00010,593.833,12.24,55,2023-10-24
CAP_SON_MAI_00004,92.317,11.21,55,2023-10-19
CAP_SON_MAI_00010,637.867,12.2,55,2023-10-13
CAP_SON_MAI_00001,186.75,12.28,55,2023-10-11
CAP_SON_MAI_00010,390.767,7.45,55,2023-09-28
CAP_SON_MAI_00004,100.567,12.2,55,2023-09-28
CAP_SON_MAI_00010,4270.983,11.54,55,2023-09-22
CAP_SON_MAI_00010,241.35,12.27,55,2023-09-21
CAP_SON_MAI_00010,0.067,0.0,55,2023-09-21
CAP_SON_MAI_00001,601.85,12.42,55,2023-09-19
CAP_SON_MAI_00001,698.467,12.07,55,2023-09-14
CAP_SON_MAI_00004,101.183,12.16,55,2023-09-07
CAP_SON_MAI_00010,225.95,12.26,55,2023-09-06
CAP_SON_MAI_00010,339.967,12.22,55,2023-09-04
CAP_SON_MAI_00001,225.85,12.53,55,2023-09-01
CAP_SON_MAI_00001,283.617,12.48,55,2023-08-30
CAP_SON_MAI_00001,233.2,12.34,55,2023-08-29
CAP_SON_MAI_00001,196.583,12.36,55,2023-08-28
CAP_SON_MAI_00004,97.733,11.95,55,2023-08-24
CAP_SON_MAI_00004,13.45,1.48,55,2023-08-22
CAP_SON_MAI_00004,104.833,12.04,55,2023-08-22
CAP_SON_MAI_00010,578.75,9.88,55,2023-08-18
CAP_SON_MAI_00010,642.283,8.78,55,2023-08-17
CAP_SON_MAI_00010,587.583,12.16,55,2023-08-16
CAP_SON_MAI_00010,584.5,11.97,55,2023-08-10
CAP_SON_MAI_00010,20.1,2.29,55,2023-08-10
CAP_SON_MAI_00010,247.75,12.34,55,2023-08-09
CAP_SON_MAI_00001,603.617,12.4,55,2023-08-08
CAP_SON_MAI_00010,240.783,12.31,55,2023-08-04
CAP_SON_MAI_00010,280.45,12.04,55,2023-08-03
CAP_SON_MAI_00010,704.083,12.3,55,2023-08-01
CAP_SON_MAI_00001,632.833,12.16,55,2023-07-28
CAP_SON_MAI_00001,458.967,10.89,55,2023-07-27
CAP_SON_MAI_00010,645.733,9.58,55,2023-07-26
CAP_SON_MAI_00010,328.05,4.64,55,2023-07-25
CAP_SON_MAI_00010,199.1,12.06,55,2023-07-25
CAP_SON_MAI_00010,99.717,12.17,55,2023-07-24
CAP_SON_MAI_00004,41.433,4.97,55,2023-07-18
CAP_SON_MAI_00010,293.217,8.45,55,2023-07-18
CAP_SON_MAI_00010,190.767,12.34,55,2023-07-17
CAP_SON_MAI_00010,483.2,12.34,55,2023-07-14
CAP_SON_MAI_00010,278.083,4.45,55,2023-07-13
CAP_SON_MAI_00010,237.033,9.5,55,2023-07-13
CAP_SON_MAI_00010,386.017,6.15,55,2023-07-12
CAP_SON_MAI_00010,225.25,12.16,55,2023-07-12
CAP_SON_MAI_00010,293.633,5.43,55,2023-07-10
CAP_SON_MAI_00004,101.233,12.21,55,2023-07-10
CAP_SON_MAI_00010,106.25,7.75,55,2023-07-07
CAP_SON_MAI_00010,227.783,11.95,55,2023-07-07
CAP_SON_MAI_00010,260.983,1.24,55,2023-07-06
CAP_SON_MAI_00010,242.217,11.46,55,2023-07-06
CAP_SON_MAI_00010,673.433,11.22,55,2023-07-05
CAP_SON_MAI_00010,292.3,3.81,55,2023-07-04
CAP_SON_MAI_00010,249.883,10.16,55,2023-07-04
CAP_SON_MAI_00010,645.517,12.05,55,2023-07-03
CAP_SON_MAI_00004,93.65,11.55,55,2023-06-30
CAP_SON_MAI_00004,0.65,0.0,55,2023-06-30
CAP_SON_MAI_00010,402.0,11.06,55,2023-06-29
CAP_SON_MAI_00010,362.133,12.29,55,2023-06-28
CAP_SON_MAI_00004,46.233,5.6,55,2023-06-20
CAP_SON_MAI_00004,99.133,12.13,55,2023-06-20
CAP_SON_MAI_00004,101.467,12.34,55,2023-06-16
CAP_SON_MAI_00010,706.667,11.29,55,2023-06-13
CAP_SON_MAI_00010,223.3,12.0,55,2023-06-12
CAP_SON_MAI_00010,72.333,8.83,55,2023-06-09
CAP_SON_MAI_00010,45.817,5.55,55,2023-06-09
CAP_SON_MAI_00010,411.883,9.1,55,2023-06-07
CAP_SON_MAI_00010,651.433,12.09,55,2023-06-06
CAP_SON_MAI_00004,101.417,12.19,55,2023-06-01
CAP_SON_MAI_00010,313.417,12.11,55,2023-05-29
CAP_SON_MAI_00001,597.367,12.3,55,2023-05-26
CAP_SON_MAI_00001,0.249,0.0,55,2023-05-26
CAP_SON_MAI_00010,601.5,12.25,55,2023-05-24
CAP_SON_MAI_00010,268.2,12.26,55,2023-05-22
CAP_SON_MAI_00010,210.683,5.1,55,2023-05-19
CAP_SON_MAI_00010,179.05,3.05,55,2023-05-19
CAP_SON_MAI_00010,298.883,6.49,55,2023-05-18
CAP_SON_MAI_00010,194.933,12.4,55,2023-05-18
CAP_SON_MAI_00010,364.15,12.26,55,2023-05-16
CAP_SON_MAI_00010,4469.583,4.46,55,2023-05-12
CAP_SON_MAI_00010,622.75,11.54,55,2023-05-11
CAP_SON_MAI_00004,71.2,8.44,55,2023-04-21
CAP_SON_MAI_00001,632.083,11.91,55,2023-04-18
CAP_SON_MAI_00004,100.183,12.19,55,2023-04-17
CAP_SON_MAI_00001,376.533,7.27,55,2023-04-14
CAP_SON_MAI_00004,44.917,5.35,55,2023-04-14
CAP_SON_MAI_00010,664.517,7.26,55,2023-04-13
CAP_SON_MAI_00004,103.533,12.239,55,2023-04-11
CAP_SON_MAI_00010,570.65,12.27,55,2023-04-10
CAP_SON_MAI_00010,307.733,3.19,55,2023-04-06
CAP_SON_MAI_00010,255.25,12.35,55,2023-04-06
