Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00010,352.383,8.73,13,2024-02-29
CAP_SON_MAI_00010,0.4,0.01,13,2024-02-29
CAP_SON_MAI_00010,173.283,8.78,13,2024-02-27
CAP_SON_MAI_00004,147.55,8.62,13,2024-02-20
CAP_SON_MAI_00010,161.9,8.97,13,2024-02-16
CAP_SON_MAI_00003,171.35,8.592,13,2024-02-14
CAP_SON_MAI_00010,263.133,8.79,13,2024-02-09
CAP_SON_MAI_00003,352.65,7.996,13,2024-01-31
CAP_SON_MAI_00010,319.567,9.06,13,2024-01-05
CAP_SON_MAI_00003,0.167,0.002,13,2023-12-20
CAP_SON_MAI_00010,491.233,8.91,13,2023-12-19
CAP_SON_MAI_00001,344.783,9.07,13,2023-12-13
CAP_SON_MAI_00004,166.567,9.14,13,2023-11-30
CAP_SON_MAI_00004,0.283,0.0,13,2023-11-30
CAP_SON_MAI_00003,289.1,9.207,13,2023-11-29
CAP_SON_MAI_00003,276.767,9.274,13,2023-11-28
CAP_SON_MAI_00003,384.0,8.953,13,2023-11-27
CAP_SON_MAI_00003,328.483,5.889,13,2023-11-24
CAP_SON_MAI_00001,316.567,7.49,13,2023-11-22
CAP_SON_MAI_00004,147.333,8.04,13,2023-11-21
CAP_SON_MAI_00002,49.7,28.54,13,2023-10-02
CAP_SON_MAI_00010,243.217,8.67,13,2023-09-15
CAP_SON_MAI_00004,0.65,0.0,13,2023-07-31
CAP_SON_MAI_00001,255.467,9.23,13,2023-07-14
CAP_SON_MAI_00010,25.1,1.43,13,2023-07-06
CAP_SON_MAI_00004,131.783,7.32,13,2023-07-06
CAP_SON_MAI_00003,311.333,9.388,13,2023-07-05
CAP_SON_MAI_00001,301.2,9.15,13,2023-07-03
CAP_SON_MAI_00004,0.65,0.0,13,2023-05-19
