Start date,Duration (min),Total Energy (kWh),Power,Temp,Plus,Day of Week,Month,Season,Período Escolar
2022-08-23,0.0,0.0,0.0,0.0,0.0,2,8,3,1
2022-08-24,0.0,0.0,0.0,0.0,0.0,3,8,3,1
2022-08-25,0.0,0.0,0.0,0.0,0.0,4,8,3,1
2022-08-26,0.0,0.0,0.0,0.0,0.0,5,8,3,1
2022-08-27,0.0,0.0,0.0,0.0,0.0,6,8,3,1
2022-08-28,0.0,0.0,0.0,0.0,0.0,7,8,3,1
2022-08-29,0.0,0.0,0.0,0.0,0.0,1,8,3,1
2022-08-30,0.0,0.0,0.0,0.0,0.0,2,8,3,1
2022-08-31,0.0,0.0,0.0,0.0,0.0,3,8,3,1
2022-09-01,0.0,0.0,0.0,0.0,0.0,4,9,4,2
2022-09-02,0.0,0.0,0.0,0.0,0.0,5,9,4,2
2022-09-03,0.0,0.0,0.0,0.0,0.0,6,9,4,2
2022-09-04,0.0,0.0,0.0,0.0,0.0,7,9,4,2
2022-09-05,0.0,0.0,0.0,0.0,0.0,1,9,4,2
2022-09-06,0.0,0.0,0.0,0.0,0.0,2,9,4,2
2022-09-07,0.0,0.0,0.0,0.0,0.0,3,9,4,2
2022-09-08,111.85,27.25,66.102294710684,19.75,0.0,4,9,4,2
2022-09-09,0.0,0.0,0.0,0.0,0.0,5,9,4,2
2022-09-10,0.0,0.0,0.0,0.0,0.0,6,9,4,2
2022-09-11,0.0,0.0,0.0,0.0,0.0,7,9,4,2
2022-09-12,192.15,22.74,7.100702576112411,20.75,0.23,1,9,4,2
2022-09-13,233.2,66.36,84.10087951807229,20.25,0.9,2,9,4,2
2022-09-14,0.0,0.0,0.0,0.0,0.0,3,9,4,2
2022-09-15,0.0,0.0,0.0,0.0,0.0,4,9,4,2
2022-09-16,19.767,29.2,88.632569433905,20.75,0.0,5,9,4,2
2022-09-17,22.267,36.38,98.02847262765529,22.22,0.0,6,9,4,2
2022-09-18,0.0,0.0,0.0,0.0,0.0,7,9,4,2
2022-09-19,0.0,0.0,0.0,0.0,0.0,1,9,4,2
2022-09-20,0.0,0.0,0.0,0.0,0.0,2,9,4,2
2022-09-21,0.0,0.0,0.0,0.0,0.0,3,9,4,2
2022-09-22,0.0,0.0,0.0,0.0,0.0,4,9,4,2
2022-09-23,340.85,23.43,4.124394895115152,19.5,0.0,5,9,4,2
2022-09-24,0.0,0.0,0.0,0.0,0.0,6,9,4,2
2022-09-25,0.0,0.0,0.0,0.0,0.0,7,9,4,2
2022-09-26,0.0,0.0,0.0,0.0,0.0,1,9,4,2
2022-09-27,0.0,0.0,0.0,0.0,0.0,2,9,4,2
2022-09-28,0.0,0.0,0.0,0.0,0.0,3,9,4,2
2022-09-29,409.05,42.59,6.247158049138248,17.5,0.03,4,9,4,2
2022-09-30,0.0,0.0,0.0,0.0,0.0,5,9,4,2
2022-10-01,0.0,0.0,0.0,0.0,0.0,6,10,4,2
2022-10-02,0.0,0.0,0.0,0.0,0.0,7,10,4,2
2022-10-03,0.0,0.0,0.0,0.0,0.0,1,10,4,2
2022-10-04,40.967,48.61,71.1938877633217,19.75,0.0,2,10,4,2
2022-10-05,0.0,0.0,0.0,0.0,0.0,3,10,4,2
2022-10-06,139.883,55.15,102.81319447113287,20.5,0.0,4,10,4,2
2022-10-07,343.633,32.25,5.631007499279756,20.5,0.0,5,10,4,2
2022-10-08,0.0,0.0,0.0,0.0,0.0,6,10,4,2
2022-10-09,0.0,0.0,0.0,0.0,0.0,7,10,4,2
2022-10-10,24.533,20.02,48.96262177475237,18.0,0.13,1,10,4,2
2022-10-11,0.0,0.0,0.0,0.0,0.0,2,10,4,2
2022-10-12,0.0,0.0,0.0,0.0,0.0,3,10,4,2
2022-10-13,619.367,76.71000000000001,15.534183840295151,18.5,0.0,4,10,4,2
2022-10-14,0.0,0.0,0.0,0.0,0.0,5,10,4,2
2022-10-15,0.0,0.0,0.0,0.0,0.0,6,10,4,2
2022-10-16,0.0,0.0,0.0,0.0,0.0,7,10,4,2
2022-10-17,0.0,0.0,0.0,0.0,0.0,1,10,4,2
2022-10-18,0.0,0.0,0.0,0.0,0.0,2,10,4,2
2022-10-19,0.0,0.0,0.0,0.0,0.0,3,10,4,2
2022-10-20,0.0,0.0,0.0,0.0,0.0,4,10,4,2
2022-10-21,383.867,41.41,6.472554296149447,16.5,0.48,5,10,4,2
2022-10-22,0.0,0.0,0.0,0.0,0.0,6,10,4,2
2022-10-23,20.167,34.56,102.8214409679179,16.5,1.18,7,10,4,2
2022-10-24,0.0,0.0,0.0,0.0,0.0,1,10,4,2
2022-10-25,350.15,28.05,4.806511495073541,17.25,0.3,2,10,4,2
2022-10-26,39.067,39.86,61.2179076970333,18.75,0.58,3,10,4,2
2022-10-27,77.3,40.43,134.33869899311074,19.25,0.4,4,10,4,2
2022-10-28,45.783,34.8,45.60644780813839,18.25,2.13,5,10,4,2
2022-10-29,0.0,0.0,0.0,0.0,0.0,6,10,4,2
2022-10-30,0.0,0.0,0.0,0.0,0.0,7,10,4,2
2022-10-31,0.0,0.0,0.0,0.0,0.0,1,10,4,2
2022-11-01,0.0,0.0,0.0,0.0,0.0,2,11,4,2
2022-11-02,436.9,42.05,5.774776836804761,14.25,0.25,3,11,4,2
2022-11-03,0.0,0.0,0.0,0.0,0.0,4,11,4,2
2022-11-04,307.15,20.49,4.0026045905909164,13.0,0.0,5,11,4,2
2022-11-05,0.0,0.0,0.0,0.0,0.0,6,11,4,2
2022-11-06,0.0,0.0,0.0,0.0,0.0,7,11,4,2
2022-11-07,0.0,0.0,0.0,0.0,0.0,1,11,4,2
2022-11-08,0.0,0.0,0.0,0.0,0.0,2,11,4,2
2022-11-09,0.0,0.0,0.0,0.0,0.0,3,11,4,2
2022-11-10,318.933,21.77,4.09553103629916,16.5,0.0,4,11,4,2
2022-11-11,0.0,0.0,0.0,0.0,0.0,5,11,4,2
2022-11-12,0.0,0.0,0.0,0.0,0.0,6,11,4,2
2022-11-13,0.0,0.0,0.0,0.0,0.0,7,11,4,2
2022-11-14,446.683,45.04,6.04992802501998,15.25,0.03,1,11,4,2
2022-11-15,37.95,7.13,11.272727272727272,16.0,0.35,2,11,4,2
2022-11-16,0.0,0.0,0.0,0.0,0.0,3,11,4,2
2022-11-17,0.0,0.0,0.0,0.0,0.0,4,11,4,2
2022-11-18,213.817,38.57,10.82327410823274,13.0,0.13,5,11,4,2
2022-11-19,0.0,0.0,0.0,0.0,0.0,6,11,4,2
2022-11-20,0.0,0.0,0.0,0.0,0.0,7,11,4,2
2022-11-21,243.1,44.19,10.90662278897573,15.75,0.23,1,11,4,2
2022-11-22,311.833,21.25,4.088726978863686,14.75,0.25,2,11,4,2
2022-11-23,0.0,0.0,0.0,0.0,0.0,3,11,4,2
2022-11-24,204.733,68.65,108.78384996338957,14.75,2.1,4,11,4,2
2022-11-25,0.0,0.0,0.0,0.0,0.0,5,11,4,2
2022-11-26,0.0,0.0,0.0,0.0,0.0,6,11,4,2
2022-11-27,0.0,0.0,0.0,0.0,0.0,7,11,4,2
2022-11-28,0.0,0.0,0.0,0.0,0.0,1,11,4,2
2022-11-29,0.0,0.0,0.0,0.0,0.0,2,11,4,2
2022-11-30,598.733,49.44,4.954462172621185,11.25,0.03,3,11,4,2
2022-12-01,0.0,0.0,0.0,0.0,0.0,4,12,1,2
2022-12-02,0.0,0.0,0.0,0.0,0.0,5,12,1,2
2022-12-03,0.0,0.0,0.0,0.0,0.0,6,12,1,2
2022-12-04,0.0,0.0,0.0,0.0,0.0,7,12,1,2
2022-12-05,0.0,0.0,0.0,0.0,0.0,1,12,1,2
2022-12-06,74.867,54.07,70.55236129172256,12.0,0.06,2,12,1,2
